ticker,ELIO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-02-25,31.25
2016-02-26,90.4762
2016-02-29,50.0
2016-03-01,-33.3333
2016-03-02,-39.75
2016-03-03,-9.1701
2016-03-04,-4.5226
2016-03-07,19.6172
2016-03-08,16.0
2016-03-09,20.3448
2016-03-10,7.4499
2016-03-11,2.0
2016-03-14,-0.5229
2016-03-15,2.4967
2016-03-16,-7.9282
2016-03-17,-24.2509
2016-03-18,-15.4412
2016-03-21,0.0
2016-03-22,-2.1739
2016-03-23,-9.3333
2016-03-24,-0.4902
2016-03-28,8.3744
2016-03-29,-4.5455
2016-03-30,0.0
2016-03-31,-0.9048
2016-04-01,-1.9702
2016-04-04,-1.4706000000000001
2016-04-05,-10.4478
2016-04-06,-6.3889
2016-04-07,-2.3739
2016-04-08,-14.7234
2016-04-11,-3.051
2016-04-12,27.2059
2016-04-13,-7.5145
2016-04-14,3.125
2016-04-15,4.2424
2016-04-18,16.2791
2016-04-19,1.15
2016-04-20,-3.6085000000000003
2016-04-21,4.1026
2016-04-22,-4.1872
2016-04-25,-6.0668
2016-04-26,-0.6568
2016-04-27,7.1074
2016-04-28,0.0514
2016-04-29,-0.2571
2016-05-02,0.2577
2016-05-03,-0.545
2016-05-04,-0.7325
2016-05-05,0.7691
2016-05-06,3.3592
2016-05-09,1.45
2016-05-10,0.7886
2016-05-11,-0.2445
2016-05-12,-1.4706000000000001
2016-05-13,1.4925
2016-05-16,-0.3398
2016-05-17,3.2921
2016-05-18,4.2857
2016-05-19,1.3699
2016-05-20,0.906
2016-05-23,6.0215
2016-05-24,-2.1053
2016-05-25,-2.7957
2016-05-26,1.6681
2016-05-27,-3.3816
2016-05-31,1.4414
2016-06-01,-1.865
2016-06-02,-1.5836999999999999
2016-06-03,-2.6667
2016-06-06,-3.1176
2016-06-07,0.6826
2016-06-08,-2.5666
2016-06-09,-0.5964
2016-06-10,2.5
2016-06-13,-4.878
2016-06-14,1.0256
2016-06-15,0.5076
2016-06-16,0.0
2016-06-17,-1.5152
2016-06-20,-0.9744
2016-06-21,-1.0616
2016-06-22,3.5854
2016-06-23,1.0611
2016-06-24,-2.5
2016-06-27,-0.5641
2016-06-28,-0.4126
2016-06-29,2.2786
2016-06-30,0.0
2016-07-01,1.4684
2016-07-05,-2.3952
2016-07-06,-0.3067
2016-07-07,-0.6718
2016-07-08,1.0739
2016-07-11,-0.6487
2016-07-12,0.2571
2016-07-13,0.0006
2016-07-14,11.2813
2016-07-15,-6.4839
