ticker,CAGU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-6.25
2000-01-04,-3.3333
2000-01-11,3.4483
2000-01-14,3.3333
2000-01-18,0.0
2000-01-19,3.2258
2000-01-21,-5.0
2000-01-24,-4.6053
2000-01-28,10.3448
2000-01-31,-12.5
2000-02-01,-3.5714
2000-02-02,-3.7037
2000-02-08,0.0
2000-02-14,-3.8462
2000-02-16,-4.0
2000-02-23,-3.3333
2000-02-28,3.4483
2000-02-29,4.1667
2000-03-01,12.0
2000-03-02,0.0
2000-03-03,-10.7143
2000-03-06,14.0
2000-03-08,-1.7544
2000-03-10,-7.1429
2000-03-14,3.8462
2000-03-15,3.7037
2000-03-28,3.5714
2000-04-03,-3.4483
2000-04-04,-7.1429
2000-04-13,0.0
2000-04-19,-19.2308
2000-04-26,0.0
2000-04-27,4.7619
2000-04-28,-9.0909
2000-05-05,12.5
2000-05-08,6.6667
2000-05-09,-16.6667
2000-05-11,-5.0
2000-05-22,-5.2632
2000-05-24,-8.3333
2000-06-06,0.0
2000-06-22,21.2121
2000-07-05,-10.0
2000-07-12,-16.6667
2000-07-13,-6.6667
2000-07-17,-14.2857
2000-07-24,-4.1667
2000-07-25,0.0
2000-08-01,4.3478
2000-08-02,8.3333
2000-08-21,0.0
2000-08-31,-23.0769
2000-09-14,0.0
2000-09-22,-15.0
2000-10-10,-41.1765
2000-10-12,-20.0
2000-10-18,12.5
2000-10-19,11.1111
2000-10-24,-20.0
2000-10-26,100.0
2000-10-27,-50.0
2000-11-10,0.0
2000-11-13,0.0
2000-11-14,25.0
2000-11-16,-20.0
2000-11-20,-12.5
2000-11-24,-14.2857
2000-11-27,-16.6667
2000-12-11,0.0
2000-12-14,-16.8
2000-12-15,0.0
2000-12-18,0.0
2000-12-19,0.0
2000-12-22,0.0
2000-12-26,-99.2308
2000-12-28,31150.0
2000-12-29,-80.0
2001-02-05,0.0
2001-02-15,0.0
2001-03-22,-98.4
2001-03-28,9900.0
2001-04-23,-99.0
2001-05-01,900.0
2001-05-08,900.0
2001-07-02,400.0
2001-08-27,-14.0
2001-08-30,0.0
2001-09-17,-88.3721
2001-10-29,20.0
2001-10-30,1150.0
2001-10-31,-66.6667
2001-12-05,240.0
2001-12-17,-97.6471
2001-12-27,150.0
2002-01-08,0.0
2002-08-06,-40.0
2002-12-05,-66.6667
2002-12-20,0.0
2003-10-30,1100.0
2004-01-13,-91.6667
2004-05-26,-90.0
2004-09-21,9900.0
2004-09-30,-80.0
