ticker,CMKI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-12-06,1760.4651
2013-12-09,0.0
2013-12-10,0.0
2013-12-12,0.0
2013-12-16,0.0
2013-12-19,899.75
2013-12-23,0.0
2013-12-24,-99.4374
2013-12-26,17673.3333
2013-12-27,0.0
2013-12-31,-83.996
2014-01-03,524.8438
2014-01-06,0.0
2014-01-10,0.0
2014-01-13,-79.995
2014-01-17,399.875
2014-01-22,-9.9775
2014-01-24,-77.7778
2014-01-27,100.0
2014-01-28,0.0
2014-02-04,0.0
2014-02-13,0.0
2014-02-18,0.0
2014-02-19,0.0
2014-02-21,0.0
2014-02-24,0.0
2014-02-25,0.0
2014-02-28,0.0
2014-03-05,0.0
2014-03-10,0.0
2014-03-18,374.9375
2014-03-19,-78.9446
2014-03-24,0.0
2014-04-02,0.0
2014-04-16,0.0
2014-04-25,0.0
2014-05-06,50.0
2014-05-09,-60.0
2014-06-04,-4.0625
2014-06-13,-90.0109
2014-07-24,595.6522
2014-07-25,0.0
2014-07-30,25.0
2014-08-01,5.0
2014-08-04,4.7619
2014-08-05,-11.818200000000001
2014-08-06,-3.0928
2014-08-07,-8.5106
2014-08-08,-30.2326
2014-08-11,-1.875
2014-08-12,-40.552
2014-08-13,41.4286
2014-08-14,-27.5253
2014-08-15,36.2369
2014-08-18,-18.4143
2014-08-19,-14.4201
2014-08-20,2.5641
2014-08-21,0.0
2014-08-22,-2.8571
2014-08-25,-5.8824
2014-08-27,-37.5
2014-08-28,25.0
2014-08-29,20.0
2014-09-02,-10.0
2014-09-03,-7.4074
2014-09-04,-12.0
2014-09-05,9.0909
2014-09-08,37.5
2014-09-09,-10.6061
2014-09-10,2.1186
2014-09-11,-9.9585
2014-09-12,-7.8341
2014-09-15,-4.0
2014-09-16,4.1667
2014-09-17,-19.5
2014-09-18,13.6646
2014-09-19,-3.8251
2014-09-23,2.8409
2014-09-24,-22.6519
2014-09-25,3.5714
2014-09-26,-28.2759
2014-09-29,3.8462
2014-09-30,11.1111
2014-10-01,-13.3333
2014-10-02,53.8462
2014-10-03,-50.0
2014-10-06,0.0
2014-10-09,-28.125
2014-10-10,0.0
2014-10-14,37.3913
2014-10-15,0.0
2014-10-20,0.0
2014-10-21,-27.2152
2014-10-27,0.0
2014-10-28,-13.913
2014-10-29,0.0
2014-10-30,0.0
2014-10-31,61.6162
2014-11-03,-38.125
2014-11-04,0.0
2014-11-05,61.6162
2014-11-06,0.0
2014-11-07,0.0
2014-11-10,-11.875
