ticker,NTNX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-09-30,131.25
2016-10-03,20.1622
2016-10-04,-14.3275
2016-10-05,-5.0144
2016-10-06,1.4373
2016-10-07,3.951
2016-10-10,-8.7549
2016-10-11,-8.0437
2016-10-12,1.5308000000000002
2016-10-13,6.7692
2016-10-14,-4.4669
2016-10-17,-7.5415
2016-10-18,0.2936
2016-10-19,-2.4398
2016-10-20,-4.9683
2016-10-21,2.4912
2016-10-24,1.9172
2016-10-25,-2.0826000000000002
2016-10-26,-1.3378999999999999
2016-10-27,-4.6245
2016-10-28,-9.4422
2016-10-31,-1.3688
2016-11-01,-1.3878
2016-11-02,1.6141999999999999
2016-11-03,-2.6477
2016-11-04,0.9623
2016-11-07,-3.1496
2016-11-08,15.062
2016-11-09,7.5493
2016-11-10,-5.7745999999999995
2016-11-11,3.7431
2016-11-14,-0.2476
2016-11-15,15.0709
2016-11-16,1.0169
2016-11-17,-4.82
2016-11-18,11.1859
2016-11-21,-2.9692
2016-11-22,-1.634
2016-11-23,3.0806
2016-11-25,-0.3809
2016-11-28,-1.9412
2016-11-29,2.2496
2016-11-30,-6.1308
2016-12-01,-13.75
2016-12-02,0.6159
2016-12-05,0.7562
2016-12-06,-1.7155
2016-12-07,-1.4545
2016-12-08,1.6604999999999999
2016-12-09,-0.4719
2016-12-12,-4.7411
2016-12-13,-4.2879
2016-12-14,1.12
2016-12-15,13.2911
2016-12-16,0.3492
2016-12-19,-0.3827
2016-12-20,2.7244
2016-12-21,-2.9582
2016-12-22,1.4365999999999999
2016-12-23,-1.658
2016-12-27,0.4566
2016-12-28,-4.8601
2016-12-29,-3.7854
2016-12-30,1.4515
2017-01-03,-0.9413
2017-01-04,6.8795
2017-01-05,-4.9075
2017-01-06,3.6275
2017-01-09,5.9184
2017-01-10,-0.5792
2017-01-11,2.6731
2017-01-12,0.7009
2017-01-13,0.9612
2017-01-17,-1.346
2017-01-18,-6.2562
2017-01-19,0.3905
2017-01-20,0.2475
2017-01-23,5.9965
2017-01-24,0.4326
2017-01-25,4.9039
2017-01-26,-4.422
2017-01-27,0.1652
2017-01-30,-3.5962
2017-01-31,3.5934
2017-02-01,-4.1625
2017-02-02,1.0341
2017-02-03,7.5401
2017-02-06,-1.5863
2017-02-07,-1.9665
2017-02-08,4.0776
2017-02-09,1.1058
2017-02-10,0.4063
2017-02-13,0.2179
2017-02-14,-0.1863
2017-02-15,2.9869
2017-02-16,-3.4441
2017-02-17,-1.5332
