ticker,TAUX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-05-15,-35.7143
2007-03-07,892.0
2011-04-04,-41.9355
2013-10-30,15.2778
2016-05-11,110.8434
2016-11-01,0.0
2017-01-20,14.2857
2017-01-25,0.0
2017-09-15,1.0
2017-10-17,0.0
2018-01-02,-10.8911
2018-01-17,11.1111
2018-01-23,25.0
2018-01-24,0.0
2018-05-04,0.0
2018-05-14,0.0
2018-06-14,0.0
2018-06-27,0.0
2018-07-27,-0.02
2018-08-03,-27.9856
2018-09-18,11.1111
2018-12-19,0.0
2018-12-20,0.0
2018-12-28,0.0
2019-01-08,25.0
2019-04-15,96.0
2019-04-18,2.0408
2019-05-14,-55.0
2019-09-27,7.2355
2019-12-06,20.1923
2020-03-18,-27.6724
2020-03-23,-16.5673
2020-03-30,14.2857
2020-04-03,0.0
2020-04-06,-37.5
2020-04-20,40.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-29,42.8571
