ticker,BKSD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-02-09,206.1224
2007-02-12,0.0
2007-02-20,-30.0
2007-03-01,13.3333
2007-03-02,9.2437
2007-03-06,-3.8462
2007-03-07,0.8
2007-03-08,23.0159
2007-03-09,3.2258
2007-03-12,-6.25
2007-03-13,0.0
2007-03-14,0.0
2007-03-15,3.3333
2007-03-16,0.0
2007-03-19,-5.1613
2007-03-20,0.0
2007-03-23,1.3605
2007-03-30,-1.3423
2007-04-02,0.0
2007-04-03,-4.7619
2007-04-04,0.0
2007-04-09,-9.2857
2007-04-10,6.2992
2007-04-11,-3.7037
2007-04-12,1.5385
2007-04-13,0.0
2007-04-16,2.2727
2007-04-17,-3.7037
2007-04-19,0.0
2007-04-23,0.0
2007-04-24,-3.8462
2007-04-30,28.0
2007-05-01,-12.5
2007-05-02,0.0
2007-05-09,-7.1429
2007-05-10,0.0
2007-05-15,-3.8462
2007-05-17,18.12
2007-05-18,11.7508
2007-05-21,0.0
2007-05-22,12.1212
2007-05-23,0.0
2007-05-24,0.0
2007-05-30,-17.8378
2007-05-31,22.3684
2007-06-01,-19.3548
2007-06-05,22.0
2007-06-07,-13.1148
2007-06-11,13.2075
2007-06-12,-11.1111
2007-06-14,3.125
2007-06-15,0.0
2007-06-18,9.0909
2007-06-20,-0.5556
2007-06-21,3.352
2007-06-22,-9.7297
2007-06-25,7.7844
2007-06-26,2.7778
2007-06-28,-1.0811
2007-06-29,-1.6393
2007-07-02,-5.5556
2007-07-03,8.8235
2007-07-05,2.7027
2007-07-06,25.2632
2007-07-09,-11.7647
2007-07-10,10.0
2007-07-11,-9.0909
2007-07-12,10.0
2007-07-13,6.0606
2007-07-16,31.4286
2007-07-17,17.3913
2007-07-18,25.9259
2007-07-19,2.9412000000000003
2007-07-20,1.4285999999999999
2007-07-23,-7.0423
2007-07-24,-4.5455
2007-07-25,0.0
2007-07-26,0.0
2007-07-27,-4.7619
2007-07-30,6.6667
2007-07-31,-4.6875
2007-08-01,-9.8361
2007-08-02,9.0909
2007-08-03,-5.0
2007-08-06,-3.5088
2007-08-07,-4.3636
2007-08-08,-12.5475
2007-08-09,6.5217
2007-08-10,8.1633
2007-08-13,-24.5283
2007-08-14,5.0
2007-08-15,-23.8095
2007-08-16,-28.125
2007-08-17,17.3913
2007-08-20,22.2222
2007-08-21,-12.1212
2007-08-22,10.3448
2007-08-23,3.125
2007-08-24,-3.0303
2007-08-27,-12.5
2007-08-28,10.7143
2007-08-29,-3.2258
