ticker,NLS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.6757
2000-01-04,-3.8031
2000-01-05,0.4651
2000-01-06,-2.7778
2000-01-07,0.4762
2000-01-10,2.3697
2000-01-11,0.9259
2000-01-12,-0.2294
2000-01-13,6.2069
2000-01-14,-4.329
2000-01-18,8.5973
2000-01-19,-2.0833
2000-01-20,-2.1277
2000-01-21,0.0
2000-01-24,0.0
2000-01-25,-3.0435
2000-01-26,-3.5874
2000-01-27,2.7907
2000-01-28,-4.0724
2000-01-31,-4.2453
2000-02-01,-1.7241
2000-02-02,-1.0025
2000-02-03,-9.8734
2000-02-04,6.7416
2000-02-07,6.8421
2000-02-08,3.4483
2000-02-09,-4.7619
2000-02-10,1.0
2000-02-11,-1.9802
2000-02-14,-7.5758
2000-02-15,-0.5464
2000-02-16,-4.3956
2000-02-17,10.3448
2000-02-18,-1.8229
2000-02-22,11.9363
2000-02-23,6.6350999999999996
2000-02-24,-5.7778
2000-02-25,1.8868
2000-02-28,3.7037
2000-02-29,-0.2232
2000-03-01,-3.3557
2000-03-02,0.9259
2000-03-03,-1.8349
2000-03-06,0.0
2000-03-07,-2.8037
2000-03-08,1.9231
2000-03-09,-1.8868
2000-03-10,1.9231
2000-03-13,-1.8868
2000-03-14,1.9231
2000-03-15,-2.4764
2000-03-16,0.8464
2000-03-17,-0.2398
2000-03-20,0.0
2000-03-21,-3.6058
2000-03-22,-2.3691
2000-03-23,1.6602999999999999
2000-03-24,5.0251
2000-03-27,2.8708
2000-03-28,0.9302
2000-03-29,1.6129
2000-03-30,1.5873
2000-03-31,-0.6696
2000-04-03,-3.3708
2000-04-04,0.4651
2000-04-05,3.4722
2000-04-06,8.2774
2000-04-07,3.9256
2000-04-10,-0.3976
2000-04-11,-0.998
2000-04-12,2.2177
2000-04-13,-0.789
2000-04-14,-6.163
2000-04-17,0.0
2000-04-18,2.5423999999999998
2000-04-19,-3.3058
2000-04-20,3.8462
2000-04-24,-5.3498
2000-04-25,0.8696
2000-04-26,3.6638
2000-04-27,7.6923
2000-04-28,1.1583
2000-05-01,0.7634
2000-05-02,-3.0303
2000-05-03,-3.125
2000-05-04,0.8065
2000-05-05,5.4
2000-05-08,0.1898
2000-05-09,0.0
2000-05-10,-3.0303
2000-05-11,3.5156
2000-05-12,5.6604
2000-05-15,4.1071
2000-05-16,-0.3431
2000-05-17,-1.5491000000000001
2000-05-18,0.1748
2000-05-19,0.6981
2000-05-22,0.1733
2000-05-23,-0.346
