ticker,TLSS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-06-09,-20.0
2014-08-08,12.5
2014-08-11,-8.8889
2014-10-17,24.3902
2014-10-27,27.451
2014-10-28,15.3846
2014-11-18,0.0
2014-11-25,13.3333
2014-12-03,0.0
2014-12-17,-51.7647
2014-12-30,102.439
2014-12-31,-51.6867
2015-01-05,109.4763
2015-02-13,0.0
2015-03-02,-81.9048
2015-03-03,360.5263
2015-03-05,7.1429
2015-03-06,-6.6667
2015-03-16,28.5714
2015-03-17,8.8889
2015-03-18,2.0408
2015-03-19,1.0
2015-03-20,-2.9703
2015-03-23,-12.551
2015-03-24,-14.8191
2015-03-25,9.589
2015-03-26,0.625
2015-03-27,-6.8323
2015-03-30,5.3333
2015-03-31,51.8987
2015-04-01,-23.3333
2015-04-02,5.4212
2015-04-06,-9.2667
2015-04-07,3.4091
2015-04-08,-37.3626
2015-04-09,23.6842
2015-04-10,-17.7305
2015-04-13,-5.1724
2015-04-14,-16.3636
2015-04-15,-4.3478
2015-04-16,-0.4545
2015-04-17,-8.6758
2015-04-20,12.0
2015-04-21,-15.1786
2015-04-22,-5.2632
2015-04-23,0.0
2015-04-24,-2.7778
2015-04-27,11.4286
2015-04-28,-6.9872
2015-04-29,-3.5148
2015-04-30,-10.0
2015-05-01,-3.1746
2015-05-04,14.4262
2015-05-05,-11.1748
2015-05-06,12.5806
2015-05-07,0.0
2015-05-08,0.0
2015-05-11,-8.3095
2015-05-12,-3.125
2015-05-13,0.0
2015-05-14,1.6129
2015-05-15,-1.5873
2015-05-18,6.4516
2015-05-19,-6.0606
2015-05-20,0.0
2015-05-21,-3.2258
2015-05-22,0.0
2015-05-26,3.3333
2015-05-27,-9.6774
2015-05-28,0.0
2015-05-29,-7.1429
2015-06-01,0.0
2015-06-02,7.6923
2015-06-03,-12.455400000000001
2015-06-04,-0.0255
2015-06-05,12.1653
2015-06-08,-9.4134
2015-06-09,0.0
2015-06-10,-7.5552
2015-06-11,8.5257
2015-06-12,-11.934
2015-06-15,-9.0909
2015-06-16,2.4375
2015-06-17,0.0
2015-06-18,0.061
2015-06-19,2.378
2015-06-22,-4.7052
2015-06-23,-7.5
2015-06-25,0.0
2015-06-26,-2.7027
2015-06-29,0.0
2015-06-30,-11.1111
2015-07-01,0.0
2015-07-06,-5.0
2015-07-07,-47.3684
2015-07-08,0.0
2015-07-09,20.0
2015-07-14,-33.3333
2015-07-15,56.25
2015-07-16,22.0
2015-07-17,83.6066
2015-07-20,0.0
