ticker,BATRA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-04-19,-9.5238
2016-04-20,0.0
2016-04-21,2.3823
2016-04-22,-3.7879
2016-04-25,-8.9989
2016-04-26,-7.1693
2016-04-27,-3.2622999999999998
2016-04-28,6.6758
2016-04-29,0.9032
2016-05-02,-0.1918
2016-05-03,2.3062
2016-05-04,0.3757
2016-05-05,-1.4971999999999999
2016-05-06,0.76
2016-05-09,2.137
2016-05-10,1.7846
2016-05-11,0.1814
2016-05-12,0.1207
2016-05-13,3.0741
2016-05-16,0.7018
2016-05-17,-0.4065
2016-05-18,0.0583
2016-05-19,2.2116
2016-05-20,-3.3375
2016-05-23,0.0639
2016-05-24,1.0224
2016-05-25,0.1265
2016-05-26,-0.5054
2016-05-27,-0.1905
2016-05-31,-1.0178
2016-06-01,1.6067
2016-06-02,0.1265
2016-06-03,-2.0215
2016-06-06,-0.4513
2016-06-07,-0.5181
2016-06-08,0.4557
2016-06-09,0.3889
2016-06-10,-0.9684
2016-06-13,-2.9335
2016-06-14,-0.6716
2016-06-15,1.6903000000000001
2016-06-16,2.3936
2016-06-17,-2.5324999999999998
2016-06-20,2.465
2016-06-21,0.2601
2016-06-22,2.3995
2016-06-23,0.0633
2016-06-24,-2.9114
2016-06-27,-4.1068999999999996
2016-06-28,-2.9912
2016-06-29,1.6118000000000001
2016-06-30,3.7241
2016-07-01,2.1941
2016-07-05,-0.4554
2016-07-06,-1.8954
2016-07-07,1.6656
2016-07-08,1.5072
2016-07-11,3.9379999999999997
2016-07-12,-0.1242
2016-07-13,-0.9328
2016-07-14,0.3766
2016-07-15,-0.1251
2016-07-18,-0.1252
2016-07-19,0.3135
2016-07-20,0.6875
2016-07-21,-0.4345
2016-07-22,0.8105
2016-07-25,0.1855
2016-07-26,0.8642
2016-07-27,1.0404
2016-07-28,-0.3634
2016-07-29,0.2432
2016-08-01,0.3639
2016-08-02,-2.2961
2016-08-03,0.4947
2016-08-04,-0.9846
2016-08-05,-0.1243
2016-08-08,0.0622
2016-08-09,-0.6219
2016-08-10,3.3166
2016-08-11,0.4846
2016-08-12,0.1206
2016-08-15,0.9633
2016-08-16,0.7156
2016-08-17,-0.5329
2016-08-18,-0.7143
2016-08-19,0.2998
2016-08-22,0.7173
2016-08-23,0.2374
2016-08-24,-0.0592
2016-08-25,0.1777
2016-08-26,0.0591
2016-08-29,-0.8274
2016-08-30,0.7151
2016-08-31,-0.5325
2016-09-01,0.5354
2016-09-02,1.2426
2016-09-06,2.63
