ticker,TWCF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-04,-6.1889
2000-01-10,8.3333
2000-01-19,0.0
2000-01-27,0.0
2000-02-01,-7.3718
2000-03-10,0.7364
2000-03-20,2.069
2000-04-03,2.7027
2000-04-13,-4.6053
2000-05-22,-2.7586
2000-05-31,4.9645
2000-06-05,-5.0461
2000-06-20,-0.7143
2000-06-21,-2.8777
2000-07-13,-1.4815
2000-07-20,-3.7594
2000-07-21,0.0
2000-07-24,-3.125
2000-08-22,0.0
2000-10-02,-1.1666
2000-10-03,3.2787
2000-10-04,-3.1746
2000-10-30,0.8197
2000-11-20,-6.5041
2000-11-21,2.6087
2000-11-22,3.3898
2000-12-08,0.395
2000-12-18,-4.0984
2000-12-20,-1.7094
2000-12-22,-5.2174
2000-12-28,1.8349
2000-12-29,-8.1081
2001-01-19,0.4902
2001-01-23,3.4146
2001-01-24,-1.8868
2001-01-25,-0.9615
2001-01-26,14.5631
2001-02-23,-1.6949
2001-03-01,-7.8082
2001-03-08,12.6761
2001-03-12,10.0
2001-03-23,-6.0606
2001-03-27,4.8387
2001-04-24,-0.3692
2001-05-07,6.5473
2001-06-18,1.8034
2001-08-02,11.4286
2001-08-06,-12.3077
2001-11-23,30.5751
2001-11-29,0.2704
2002-01-14,-6.7416
2002-01-15,5.1566
2002-01-25,0.3666
2002-01-28,0.0
2002-02-19,7.9909
2002-03-07,-11.847
2002-03-26,5.8201
2002-03-27,8.75
2002-04-01,0.0
2002-04-03,1.1494
2002-04-09,-2.3636
2002-06-06,-3.5948
2002-06-07,0.0
2002-06-10,0.0
2002-06-11,5.3269
2002-06-21,10.3448
2002-06-25,-10.4167
2002-06-26,4.6512
2002-07-26,4.4444
2002-09-13,-3.7969
2002-09-27,0.8869
2002-10-08,-1.7582
2002-11-04,-0.2237
2003-01-09,4.5414
2003-01-28,4.3011
2003-01-31,11.3402
2003-02-04,6.4815
2003-02-05,0.0
2003-02-25,-2.6087
2003-06-09,-8.1663
2003-06-12,0.0
2003-06-24,17.3158
2003-07-09,-14.6
2003-07-14,17.096
2003-07-16,-10.2
2003-07-24,22.4944
2003-07-28,3.6364
2003-08-01,-3.0877
2003-08-06,-0.3621
2003-08-11,1.7442
2003-09-03,5.6212
2003-09-18,0.8475
2003-09-26,-2.521
2003-10-10,4.3103
2003-10-14,0.0
2003-10-16,0.0
2003-10-29,12.3967
2003-11-04,0.0
2003-11-17,0.0
2003-12-09,0.2063
2003-12-11,-5.8824
2004-02-06,0.0
