ticker,MANU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-08-10,0.0
2012-08-13,1.0714
2012-08-14,0.3534
2012-08-15,-1.0563
2012-08-16,-1.9929000000000001
2012-08-17,-2.5418
2012-08-20,-2.6826
2012-08-21,0.9954
2012-08-22,-0.4549
2012-08-23,0.9139
2012-08-24,0.0755
2012-08-27,4.2986
2012-08-28,-2.1692
2012-08-29,0.2956
2012-08-30,-1.1791
2012-08-31,-0.8203
2012-09-04,-0.8271
2012-09-05,-2.1986
2012-09-06,-0.155
2012-09-07,-2.1739
2012-09-10,-0.873
2012-09-11,-1.4412
2012-09-12,-1.0561
2012-09-13,1.7241
2012-09-14,0.4843
2012-09-17,4.0964
2012-09-18,-2.9321
2012-09-19,-0.8744
2012-09-20,-0.4812
2012-09-21,2.498
2012-09-24,5.1101
2012-09-25,0.0748
2012-09-26,-0.9716
2012-09-27,0.0755
2012-09-28,-3.997
2012-10-01,-1.414
2012-10-02,0.0797
2012-10-03,3.9013
2012-10-04,-0.3831
2012-10-05,-0.1538
2012-10-08,0.1541
2012-10-09,2.7692
2012-10-10,-0.8234
2012-10-11,-2.9434
2012-10-12,0.1555
2012-10-15,-1.9409999999999998
2012-10-16,-1.0293
2012-10-17,-1.92
2012-10-18,0.1631
2012-10-19,-0.2443
2012-10-22,1.0612
2012-10-23,-1.0501
2012-10-24,0.4082
2012-10-25,1.0569
2012-10-26,0.0805
2012-10-31,1.2058
2012-11-01,2.0651
2012-11-02,-3.5798
2012-11-05,-0.0807
2012-11-06,2.9887
2012-11-07,-1.6471
2012-11-08,2.1531000000000002
2012-11-09,-0.1561
2012-11-12,0.0782
2012-11-13,1.4062999999999999
2012-11-14,-0.077
2012-11-15,-2.0817
2012-11-16,1.8898000000000001
2012-11-19,0.6182
2012-11-20,1.6897
2012-11-21,-0.6798
2012-11-23,-0.1521
2012-11-26,1.2947
2012-11-27,-0.3008
2012-11-28,0.3017
2012-11-29,-1.7292999999999998
2012-11-30,1.9893
2012-12-03,0.0
2012-12-04,0.075
2012-12-05,0.075
2012-12-06,-0.1498
2012-12-07,2.7757
2012-12-10,-0.5109
2012-12-11,1.9076
2012-12-12,-1.0079
2012-12-13,-0.2182
2012-12-14,-0.9475
2012-12-17,0.0
2012-12-18,0.1472
2012-12-19,2.4247
2012-12-20,0.3587
2012-12-21,-0.2144
2012-12-24,-0.6447
2012-12-26,1.0094
2012-12-27,-0.4283
2012-12-28,-0.3584
2012-12-31,1.0791
2013-01-02,2.2064
