ticker,MGNX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-10-10,56.1875
2013-10-11,4.4418
2013-10-14,-2.7586
2013-10-15,-1.4578
2013-10-16,1.6793
2013-10-17,-1.0421
2013-10-18,0.9736
2013-10-21,1.1413
2013-10-22,5.9144
2013-10-23,-3.8575
2013-10-24,6.9927
2013-10-25,-1.7856999999999998
2013-10-28,-0.4727
2013-10-29,-0.8769
2013-10-30,-1.0321
2013-10-31,0.3352
2013-11-01,1.4104999999999999
2013-11-04,-4.2826
2013-11-05,0.3059
2013-11-06,0.0
2013-11-07,-0.8769
2013-11-08,-0.3462
2013-11-11,2.4122
2013-11-12,1.4886
2013-11-13,5.7557
2013-11-14,-1.8258
2013-11-15,-3.0401
2013-11-18,-3.6887
2013-11-19,-11.1069
2013-11-20,-4.3085
2013-11-21,-1.756
2013-11-22,9.0284
2013-11-25,4.5187
2013-11-26,6.6559
2013-11-27,2.7526
2013-11-29,-2.8624
2013-12-02,-2.4178
2013-12-03,-0.7356
2013-12-04,1.4041000000000001
2013-12-05,-0.9231
2013-12-06,0.9705
2013-12-09,-0.0384
2013-12-10,0.0385
2013-12-11,-4.2676
2013-12-12,0.241
2013-12-13,0.9615
2013-12-16,3.7698
2013-12-17,2.4857
2013-12-18,2.7239
2013-12-19,-3.0512
2013-12-20,0.5995
2013-12-23,1.1546
2013-12-24,-0.5891
2013-12-26,-0.7037
2013-12-27,-0.1492
2013-12-30,4.7815
2013-12-31,-2.2103
2014-01-02,5.1039
2014-01-03,2.2546
2014-01-06,-0.5767
2014-01-07,7.5742
2014-01-08,2.3153
2014-01-09,5.1457
2014-01-10,9.1686
2014-01-13,-0.081
2014-01-14,0.5135
2014-01-15,-0.3227
2014-01-16,4.3162
2014-01-17,3.9824
2014-01-21,-3.0092
2014-01-22,-2.4103
2014-01-23,2.0231
2014-01-24,1.7511999999999999
2014-01-27,-4.0749
2014-01-28,1.7149999999999999
2014-01-29,-3.7354000000000003
2014-01-30,4.8235
2014-01-31,2.3393
2014-02-03,-3.6673999999999998
2014-02-04,-5.0326
2014-02-05,-3.5968999999999998
2014-02-06,0.1709
2014-02-07,5.1749
2014-02-10,-2.5683
2014-02-11,3.1354
2014-02-12,2.233
2014-02-13,-7.1316
2014-02-14,-3.8821
2014-02-18,1.8868
2014-02-19,1.0995
2014-02-20,0.1717
2014-02-21,2.1143
2014-02-24,-1.2311
2014-02-25,5.2125
2014-02-26,-1.454
2014-02-27,1.5574
2014-02-28,-5.838
