ticker,HHC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-11-08,1.3158
2010-11-09,-5.1948
2010-11-10,1.0959
2010-11-11,1.2195
2010-11-12,-1.0442
2010-11-15,10.2543
2010-11-16,-1.1043
2010-11-17,-0.8933
2010-11-18,0.2754
2010-11-19,5.4432
2010-11-22,-1.4208
2010-11-23,0.1681
2010-11-24,0.8393
2010-11-26,-0.2616
2010-11-29,-1.2399
2010-11-30,-1.5693000000000001
2010-12-01,2.8943
2010-12-02,2.8605
2010-12-03,2.7578
2010-12-06,2.1651
2010-12-07,3.9294000000000002
2010-12-08,2.9312
2010-12-09,3.0541
2010-12-10,3.8246
2010-12-13,4.8987
2010-12-14,0.3861
2010-12-15,-1.9597
2010-12-16,1.8307
2010-12-17,0.8072
2010-12-20,1.9108
2010-12-21,-1.5356999999999998
2010-12-22,-2.14
2010-12-23,-3.4285
2010-12-27,-0.3454
2010-12-28,2.9463
2010-12-29,2.0576
2010-12-30,-0.165
2010-12-31,-0.0918
2011-01-03,0.3308
2011-01-04,-0.5495
2011-01-05,0.5157
2011-01-06,0.458
2011-01-07,0.2371
2011-01-10,-2.056
2011-01-11,-1.2447
2011-01-12,0.1693
2011-01-13,0.4695
2011-01-14,-0.1495
2011-01-18,-0.1685
2011-01-19,-1.4813
2011-01-20,-0.1142
2011-01-21,-0.9527
2011-01-24,1.8660999999999999
2011-01-25,-0.491
2011-01-26,-0.7402
2011-01-27,-1.3958
2011-01-28,-2.0167
2011-01-31,-0.4948
2011-02-01,0.895
2011-02-02,-0.5914
2011-02-03,2.558
2011-02-04,1.1601
2011-02-07,0.7072
2011-02-08,-0.1708
2011-02-09,1.0646
2011-02-10,-0.1693
2011-02-11,0.6218
2011-02-14,-0.0562
2011-02-15,-1.0305
2011-02-16,1.401
2011-02-17,1.6804000000000001
2011-02-18,2.5156
2011-02-22,-0.6269
2011-02-23,-1.3518
2011-02-24,-0.4202
2011-02-25,3.3394
2011-02-28,2.5746
2011-03-01,2.4407
2011-03-02,4.461
2011-03-03,1.7793999999999999
2011-03-04,0.1271
2011-03-07,-0.2857
2011-03-08,1.178
2011-03-09,0.5979
2011-03-10,-1.4076
2011-03-11,4.172
2011-03-14,2.2232
2011-03-15,-0.6257
2011-03-16,-2.8631
2011-03-17,2.3765
2011-03-18,2.9997
2011-03-21,2.0635
2011-03-22,0.3728
2011-03-23,-2.1571
2011-03-24,0.2774
2011-03-25,0.7571
2011-03-28,-0.9249
2011-03-29,0.4813
