ticker,DYNR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-14,0.0
2000-04-25,712.5
2000-05-01,-44.6154
2000-05-02,-33.3333
2000-05-03,-33.3333
2000-05-12,0.0
2001-10-22,-86.0
2001-11-19,971.4286
2001-11-20,-90.6667
2002-01-29,0.0
2002-06-19,0.0
2002-06-28,0.0
2002-07-22,971.4286
2002-07-23,0.0
2002-07-26,66.6667
2002-07-30,60.0
2002-09-10,50.0
2002-09-18,16.6667
2003-03-06,-98.8571
2003-07-09,2400.0
2003-07-17,-75.0
2003-12-15,0.0
2004-03-26,4.0
2004-12-30,15.3846
2005-01-04,-13.3333
2005-02-17,0.0
2005-02-22,188.4615
2005-03-22,-6.6667
2005-08-02,-64.2857
2005-11-09,0.0
2006-04-06,-80.0
2006-06-21,0.0
2006-10-02,0.0
2006-10-09,0.0
2006-10-20,-10.0
2007-01-18,11.1111
2007-01-19,0.0
2007-01-31,100.0
2007-02-09,0.0
2007-02-27,100.0
2007-02-28,0.0
2007-03-07,25.0
2007-03-22,300.0
2007-03-23,10.0
2007-03-26,9.0909
2007-03-29,0.0
2007-04-04,0.0
2007-04-05,0.0
2007-04-12,25.0
2007-04-27,1.3333
2007-05-02,1.9737
2007-05-04,3.2258
2007-05-08,-2.5
2007-05-16,21.7949
2007-05-21,2.6316
2007-05-22,2.5641
2007-06-20,2.5
2007-07-06,1.4634
2007-07-09,0.9615
2007-07-11,28.5714
2007-07-12,3.7037
2007-07-20,-5.3571
2007-07-23,3.7736
2007-07-24,9.0909
2007-07-26,0.0
2007-07-27,3.3333
2007-08-01,-14.5161
2007-08-02,-3.7736
2007-08-06,9.8039
2007-08-08,-14.2857
2007-08-10,14.5833
2007-08-13,-12.7273
2007-08-16,35.4167
2007-08-22,4.6154
2007-08-27,5.8824
2007-08-28,-2.7778
2007-09-04,-4.2857
2007-09-05,2.9851
2007-09-06,-10.1449
2007-09-07,-3.2258
2007-09-10,6.6667
2007-09-12,-14.0625
2007-09-14,5.4545
2007-09-19,-13.7931
2007-09-25,10.0
2007-10-03,5.4545
2007-10-08,-6.8966
2007-10-12,7.4074
2007-10-15,3.4483
2007-10-19,0.0
2007-10-22,0.0
2007-10-23,-3.3333
2007-11-08,0.0
2007-11-23,3.4483
2007-11-29,-1.6667
2007-11-30,-1.6949
2007-12-14,-3.4483
2007-12-19,7.1429
2007-12-20,6.6667
2008-01-09,17.1875
2008-01-10,0.0
2008-01-11,-20.0
2008-01-25,25.0
2008-01-31,-13.3333
