ticker,CESO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-07-07,10.0
2000-09-26,160.7955
2000-10-27,-47.7124
2000-11-01,81.25
2000-11-10,-35.6322
2000-11-20,46.25
2000-12-21,-31.6239
2000-12-22,0.0
2001-01-24,0.0
2001-01-25,-28.5714
2001-02-20,6.0
2001-05-24,47.1698
2001-12-05,-35.8974
2001-12-06,12.0
2002-09-26,-10.7143
2002-10-18,80.0
2002-10-21,-22.2222
2003-02-13,-28.5714
2003-02-14,0.2
2004-01-21,13.014
2004-04-19,-19.5691
2004-07-14,-3.0303
2004-11-02,17.9801
2005-02-16,22.8407
2005-05-26,14.8438
2005-06-03,17.0068
2006-01-26,62.7907
2006-02-09,-1.4285999999999999
2006-02-24,1.4493
2006-03-28,-2.8571
2007-12-04,48.5294
