ticker,IFAN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-05-08,22.685200000000002
2015-05-11,-15.4717
2015-05-12,-14.1964
2015-05-13,-15.9209
2015-05-14,18.8119
2015-05-15,-12.5
2015-05-18,0.1786
2015-05-19,14.082
2015-05-20,-4.1667
2015-05-21,17.2826
2015-05-22,2.9657
2015-05-26,-6.3906
2015-05-27,-11.4423
2015-05-28,-3.1488
2015-05-29,7.6233
2015-06-01,0.0
2015-06-02,4.0625
2015-06-03,-3.9039
2015-06-04,-8.3333
2015-06-05,0.9091
2015-06-08,7.9955
2015-06-09,-2.3983
2015-06-10,-5.0214
2015-06-11,-10.1237
2015-06-12,7.1339
2015-06-15,-7.4766
2015-06-16,-1.0101
2015-06-17,-10.2041
2015-06-18,0.142
2015-06-19,0.0
2015-06-22,13.3333
2015-06-23,-11.7021
2015-06-24,10.9851
2015-06-25,-7.0243
2015-06-26,-1.0989
2015-06-29,4.4444
2015-06-30,-5.8511
2015-07-01,1.6949
2015-07-02,11.1111
2015-07-06,11.1875
2015-07-07,-5.5649
2015-07-08,-4.5833
2015-07-09,9.7941
2015-07-10,-1.8182
2015-07-13,0.0
2015-07-14,-7.4074
2015-07-15,-10.0
2015-07-16,1.1111
2015-07-17,0.0
2015-07-20,9.8901
2015-07-21,-7.0
2015-07-22,-1.0753
2015-07-23,-3.6005000000000003
2015-07-24,1.4799
2015-07-27,0.0
2015-07-28,0.0
2015-07-29,5.5556
2015-07-30,-4.7368
2015-07-31,10.4972
2015-08-03,-9.5
2015-08-04,4.0055
2015-08-05,-3.3201
2015-08-06,-0.5495
2015-08-07,0.0
2015-08-10,-2.6243
2015-08-11,1.9858
2015-08-12,-13.2128
2015-08-13,2.5641
2015-08-14,12.5
2015-08-17,0.0
2015-08-18,-10.9722
2015-08-19,0.0
2015-08-20,-6.2402
2015-08-21,6.4892
2015-08-24,0.0
2015-08-25,-12.3437
2015-08-26,21.2121
2015-08-27,-13.9706
2015-08-28,2.3932
2015-08-31,-6.3439
2015-09-01,0.0
2015-09-02,22.6381
2015-09-03,0.0
2015-09-04,-8.8663
2015-09-08,-17.0654
2015-09-09,10.288499999999999
2015-09-10,-2.354
2015-09-11,0.0
2015-09-14,0.0
2015-09-15,0.0
2015-09-16,0.0
2015-09-17,0.0
2015-09-18,21.4286
2015-09-21,-17.647100000000002
2015-09-22,7.1429
2015-09-23,-19.8333
2015-09-24,8.1081
2015-09-25,0.0
2015-09-28,0.0
2015-09-29,15.3846
