ticker,RC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-02-08,-6.1176
2013-02-11,-1.2530999999999999
2013-02-12,-0.2538
2013-02-13,1.9847000000000001
2013-02-14,-0.5639
2013-02-15,-0.1355
2013-02-19,1.1055
2013-02-20,0.2485
2013-02-21,-0.6941
2013-02-22,1.0984
2013-02-25,-0.7407
2013-02-26,-0.4975
2013-02-27,0.05
2013-02-28,0.2999
2013-03-01,-0.0997
2013-03-04,-0.4988
2013-03-05,1.1028
2013-03-06,-0.6445
2013-03-07,-0.0998
2013-03-08,0.8492
2013-03-11,0.5944
2013-03-12,1.3294000000000001
2013-03-13,-0.6317
2013-03-14,0.2445
2013-03-15,0.6829
2013-03-18,0.0969
2013-03-19,-0.1452
2013-03-20,0.5332
2013-03-21,0.1446
2013-03-22,-0.0963
2013-03-25,-0.4819
2013-03-26,0.4843
2013-03-27,-0.4337
2013-03-28,-0.1452
2013-04-01,-0.4363
2013-04-02,0.5842
2013-04-03,-0.3388
2013-04-04,0.3885
2013-04-05,0.1451
2013-04-08,1.256
2013-04-09,-0.0477
2013-04-10,-2.1002
2013-04-11,0.5363
2013-04-12,1.0184
2013-04-15,-0.5281
2013-04-16,1.11
2013-04-17,-1.6229
2013-04-18,0.1456
2013-04-19,1.5019
2013-04-22,-0.3341
2013-04-23,-0.91
2013-04-24,-0.9183
2013-04-25,-0.6829
2013-04-26,0.9332
2013-04-29,-0.3406
2013-04-30,0.8789
2013-05-01,-0.7744
2013-05-02,0.2927
2013-05-03,-0.9241
2013-05-06,0.6873
2013-05-07,-0.0488
2013-05-08,0.0976
2013-05-09,-1.2183
2013-05-10,0.3453
2013-05-13,-0.4425
2013-05-14,-0.3951
2013-05-15,-0.8924
2013-05-16,-0.3502
2013-05-17,-0.0502
2013-05-20,0.1005
2013-05-21,-1.0537
2013-05-22,1.2677
2013-05-23,-0.8608
2013-05-24,0.0
2013-05-28,-2.7068
2013-05-29,-3.8845
2013-05-30,-1.6931
2013-05-31,-0.6667
2013-06-03,-0.9508
2013-06-04,-1.6375
2013-06-05,-0.8037
2013-06-06,0.9838
2013-06-07,2.1203
2013-06-10,4.1526
2013-06-11,-1.8858000000000001
2013-06-12,-2.8007
2013-06-13,1.6949
2013-06-14,-0.4444
2013-06-17,1.7856999999999998
2013-06-18,0.3289
2013-06-19,1.2022
2013-06-20,-3.6717
2013-06-21,2.0179
2013-06-24,-2.8022
2013-06-25,1.9785
2013-06-26,-1.4967
2013-06-27,0.9004
