ticker,CLVS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-11-16,-3.3846
2011-11-17,1.035
2011-11-18,-0.8668
2011-11-21,-0.2385
2011-11-22,-0.0797
2011-11-23,0.0797
2011-11-25,3.6653000000000002
2011-11-28,0.0
2011-11-29,-1.9985
2011-11-30,0.9412
2011-12-01,-4.7397
2011-12-02,3.3442
2011-12-05,0.8682
2011-12-06,-4.0689
2011-12-07,0.2447
2011-12-08,-4.8007
2011-12-09,0.6838
2011-12-12,10.6112
2011-12-13,-0.9977
2011-12-14,-0.6202
2011-12-15,-2.2621
2011-12-16,-1.0375
2011-12-19,-3.7903000000000002
2011-12-20,7.4602
2011-12-21,7.3323
2011-12-22,2.3256
2011-12-23,-0.4261
2011-12-27,0.7846
2011-12-28,-2.9016
2011-12-29,4.0087
2011-12-30,-1.2614
2012-01-03,-0.7807
2012-01-04,0.3577
2012-01-05,3.35
2012-01-06,0.1379
2012-01-09,-0.1377
2012-01-10,2.1379
2012-01-11,-2.2282
2012-01-12,0.1381
2012-01-13,0.2759
2012-01-17,0.4814
2012-01-18,17.0431
2012-01-19,15.2632
2012-01-20,0.964
2012-01-23,-1.8593
2012-01-24,-2.7138
2012-01-25,0.0
2012-01-26,-1.6316000000000002
2012-01-27,4.8689
2012-01-30,-3.6224
2012-01-31,0.4764
2012-02-01,7.2708
2012-02-02,3.1434
2012-02-03,13.381
2012-02-06,1.8900000000000001
2012-02-07,1.3603
2012-02-08,-1.22
2012-02-09,-1.6468
2012-02-10,-8.3298
2012-02-13,3.5616
2012-02-14,-3.3069
2012-02-15,7.8431
2012-02-16,-1.0571
2012-02-17,0.3419
2012-02-21,0.9796
2012-02-22,0.1687
2012-02-23,-1.0947
2012-02-24,4.2571
2012-02-27,1.0617
2012-02-28,-1.6162
2012-02-29,2.6283
2012-03-01,-1.0004
2012-03-02,-4.8100000000000005
2012-03-05,-1.4862
2012-03-06,-2.931
2012-03-07,2.1314
2012-03-08,-2.6087
2012-03-09,-1.6071
2012-03-12,-1.5426
2012-03-13,1.8433000000000002
2012-03-14,-0.4072
2012-03-15,3.0441
2012-03-16,1.4109
2012-03-19,6.6522
2012-03-20,-0.5707
2012-03-21,6.5601
2012-03-22,-3.8092
2012-03-23,6.0
2012-03-26,-1.283
2012-03-27,-2.6376
2012-03-28,0.746
2012-03-29,-2.1824
2012-03-30,1.3944
2012-04-02,-5.3045
2012-04-03,-13.444
2012-04-04,-9.6357
2012-04-05,2.069
2012-04-09,-1.9750999999999999
