ticker,IMAB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-01-17,-10.7143
2020-01-21,10.4
2020-01-22,11.3768
2020-01-23,-1.3663
2020-01-24,-7.6517
2020-01-27,-2.2857
2020-01-28,0.0
2020-01-29,-1.8275000000000001
2020-01-30,-3.2018
2020-01-31,-5.3846
2020-02-03,-7.7236
2020-02-04,0.0
2020-02-05,1.3216
2020-02-06,-4.7826
2020-02-07,0.4566
2020-02-10,0.0
2020-02-11,1.6364
2020-02-12,-1.6099999999999999
2020-02-13,0.7273
2020-02-14,-2.4368
2020-02-18,-1.6651
2020-02-19,0.0941
2020-02-20,14.0977
2020-02-21,-1.2356
2020-02-24,0.1668
2020-02-25,15.0708
2020-02-26,-3.0391
2020-02-27,-6.7164
2020-02-28,-1.6
2020-03-02,9.8374
2020-03-03,-3.0348
2020-03-04,5.8015
2020-03-05,1.7316
2020-03-06,-0.7092
2020-03-09,0.0
2020-03-10,0.9286
2020-03-11,-3.6093
2020-03-12,-6.3877
2020-03-13,7.2157
2020-03-16,-15.8742
2020-03-17,0.0
2020-03-18,-2.6087
2020-03-19,1.6071
2020-03-20,-1.1424
2020-03-23,0.0
2020-03-24,1.8667
2020-03-25,13.438
2020-03-26,-7.6154
2020-03-27,8.2431
2020-03-30,-3.8462
2020-03-31,4.0
2020-04-01,3.8462
2020-04-02,7.4074
2020-04-03,0.0
2020-04-06,-4.8966
2020-04-07,-5.7288
2020-04-08,0.7692
2020-04-09,3.8167999999999997
2020-04-13,-2.2059
2020-04-14,2.2556
2020-04-15,0.7353
2020-04-16,3.2847
2020-04-17,-2.4735
2020-04-20,3.9130000000000003
2020-04-21,-6.5551
2020-04-22,6.2687
2020-04-23,-1.3343
2020-04-24,0.5694
2020-04-27,12.4558
2020-04-28,0.0629
2020-04-29,14.4654
2020-04-30,-1.0989
2020-05-01,-11.7222
2020-05-04,2.4544
2020-05-05,-6.2654
2020-05-06,4.8493
2020-05-07,0.0
2020-05-08,2.1875
2020-05-11,4.7706
2020-05-12,7.8809000000000005
2020-05-13,4.9242
2020-05-14,-4.8479
2020-05-15,2.2763999999999998
2020-05-18,8.638
2020-05-19,27.622
2020-05-20,-13.2346
2020-05-21,-2.2026
2020-05-22,-4.0541
2020-05-26,7.6526
2020-05-27,5.7567
2020-05-28,0.4124
2020-05-29,2.3819
2020-06-01,-0.0401
2020-06-02,-11.3965
2020-06-03,16.8478
2020-06-04,-7.5194
2020-06-05,-3.6044
2020-06-08,7.8261
2020-06-09,-1.2097
2020-06-10,0.9796
2020-06-11,-4.0016
2020-06-12,1.0947
2020-06-15,19.3669
2020-06-16,4.3266
2020-06-17,3.3779
2020-06-18,0.2912
2020-06-19,-0.0968
2020-06-22,-0.8718
2020-06-23,-2.4104
2020-06-24,0.2003
2020-06-25,3.0979
2020-06-26,-3.3603
2020-06-29,-4.2126
2020-06-30,4.4677
2020-07-01,-1.1026
2020-07-02,-0.9459
2020-07-06,-6.3438
2020-07-07,7.2469
2020-07-08,-0.4414
2020-07-09,-2.0805
2020-07-10,2.7517
2020-07-13,12.9153
2020-07-14,-6.0342
2020-07-15,4.2812
2020-07-16,-4.9632
2020-07-17,6.3507
2020-07-20,-13.4586
2020-07-21,9.317
2020-07-22,-3.941
2020-07-23,-0.1668
2020-07-24,-5.6465
2020-07-27,5.5241
2020-07-28,2.3826
2020-07-29,-1.0161
2020-07-30,-2.7152
2020-07-31,8.7474
