ticker,ZVO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-04-15,5.7143
2009-04-16,8.5586
2009-04-17,-0.332
2009-04-20,-2.9975
2009-04-21,-5.5794
2009-04-22,-1.8182
2009-04-23,-4.6296
2009-04-24,-0.1942
2009-04-27,0.1946
2009-04-28,4.1748
2009-04-29,-0.1864
2009-04-30,1.3072
2009-05-01,0.0
2009-05-04,-5.7143
2009-05-05,-0.391
2009-05-06,5.3974
2009-05-07,-4.5624
2009-05-08,0.0
2009-05-11,-0.878
2009-05-12,2.313
2009-05-13,-1.6835
2009-05-14,1.9569
2009-05-15,-2.2073
2009-05-18,2.2571
2009-05-19,-2.2073
2009-05-20,-0.7851
2009-05-21,25.4204
2009-05-22,-4.5741
2009-05-26,2.9752
2009-05-27,-2.9695
2009-05-28,1.5715
2009-05-29,2.1987
2009-06-01,2.7092
2009-06-02,0.4655
2009-06-03,3.7838000000000003
2009-06-04,7.0685
2009-06-05,1.7372999999999998
2009-06-08,1.1612
2009-06-09,-0.9453
2009-06-10,1.0225
2009-06-11,-3.9811
2009-06-12,2.4596
2009-06-15,-2.332
2009-06-16,3.7921
2009-06-17,7.9161
2009-06-18,-0.3762
2009-06-19,5.3493
2009-06-22,-4.7192
2009-06-23,-6.9592
2009-06-24,7.5472
2009-06-25,0.6266
2009-06-26,4.9191
2009-06-29,-5.1039
2009-06-30,6.3164
2009-07-01,-4.2353
2009-07-02,-5.0369
2009-07-06,2.1992
2009-07-07,-1.2658
2009-07-08,-0.1923
2009-07-09,-1.991
2009-07-10,3.8663
2009-07-13,0.9464
2009-07-14,-0.125
2009-07-15,0.0626
2009-07-16,0.0625
2009-07-17,0.4375
2009-07-20,4.7915
2009-07-21,2.9097
2009-07-22,2.0773
2009-07-23,2.4308
2009-07-24,0.8278
2009-07-27,-0.821
2009-07-28,0.0
2009-07-29,-1.1589
2009-07-30,-0.7259
2009-07-31,2.1372
2009-08-03,0.0551
2009-08-04,5.5036000000000005
2009-08-05,-0.4695
2009-08-06,-1.782
2009-08-07,2.1345
2009-08-10,1.0449
2009-08-11,4.4984
2009-08-12,0.7422
2009-08-13,4.7642
2009-08-14,-3.4693
2009-08-17,3.5454
2009-08-18,0.9381
2009-08-19,-1.5335
2009-08-20,-0.6607
2009-08-21,1.4252
2009-08-24,-1.5457
2009-08-25,-1.0942
2009-08-26,-5.772
2009-08-27,-2.5013
2009-08-28,-3.089
2009-08-31,-0.7563
2009-09-01,-1.8508
2009-09-02,0.2773
