ticker,NS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-04-10,14.2857
2001-04-11,3.5714
2001-04-12,-0.1724
2001-04-16,-0.7599
2001-04-17,-0.4525
2001-04-18,-1.3986
2001-04-19,0.0
2001-04-20,-1.2411
2001-04-23,-0.6822
2001-04-24,1.5907
2001-04-25,1.4235
2001-04-26,1.7544
2001-04-27,-0.6897
2001-04-30,0.3472
2001-05-01,-0.173
2001-05-02,0.1733
2001-05-03,-1.4533
2001-05-04,-1.1587
2001-05-07,5.5062
2001-05-08,3.8047
2001-05-09,3.6328
2001-05-10,-2.7856
2001-05-11,-0.8371
2001-05-14,-1.6234
2001-05-15,-1.1551
2001-05-16,1.1686
2001-05-17,0.165
2001-05-18,2.1417
2001-05-21,0.7419
2001-05-22,0.2241
2001-05-23,-0.2236
2001-05-24,-0.2562
2001-05-25,-1.4445999999999999
2001-05-29,-0.8143
2001-05-30,-3.1856
2001-05-31,0.7463
2001-06-01,-0.3367
2001-06-04,1.2838
2001-06-05,-0.2668
2001-06-06,0.0
2001-06-07,-0.5017
2001-06-08,0.2017
2001-06-11,0.4361
2001-06-12,-1.4696
2001-06-13,1.0508
2001-06-14,0.1342
2001-06-15,-0.2345
2001-06-18,-0.6044
2001-06-19,-0.3378
2001-06-20,0.0
2001-06-21,0.1695
2001-06-22,-0.1692
2001-06-25,0.7458
2001-06-26,0.6057
2001-06-27,0.1003
2001-06-28,-0.1002
2001-06-29,0.0
2001-07-02,0.3344
2001-07-03,1.0
2001-07-05,-0.33
2001-07-06,0.0
2001-07-09,4.3046
2001-07-10,-0.7937
2001-07-11,-1.568
2001-07-12,-0.9103
2001-07-13,-0.7546
2001-07-16,0.3306
2001-07-17,2.4712
2001-07-18,-0.4823
2001-07-19,0.1616
2001-07-20,1.4194
2001-07-23,1.7494
2001-07-24,0.3439
2001-07-25,1.5575999999999999
2001-07-26,-0.4908
2001-07-27,0.0308
2001-07-30,0.6814
2001-07-31,1.9583
2001-08-01,1.1585
2001-08-02,-0.8439
2001-08-03,-0.5167
2001-08-06,-2.2304
2001-08-07,-1.5625
2001-08-08,1.5873
2001-08-09,2.0312
2001-08-10,1.5926
2001-08-13,-1.2059
2001-08-14,1.5868
2001-08-15,4.5659
2001-08-16,-1.7811
2001-08-17,1.2284
2001-08-20,0.0578
2001-08-21,-0.4332
2001-08-22,2.0882
2001-08-23,0.142
2001-08-24,-0.7092
2001-08-27,-0.6571
2001-08-28,0.0863
2001-08-29,1.5516999999999999
