ticker,DUUO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-04-25,0.0
2017-04-26,-1.04
2017-04-27,-0.5659
2017-04-28,-0.4065
2017-05-03,-2.0408
2017-05-05,4.1667
2017-05-15,-75.6
2017-05-16,80.2869
2017-05-17,-36.3492
2017-05-19,7.1429
2017-05-22,2.6667
2017-05-23,0.0
2017-05-31,0.0
2017-06-02,-23.0032
2017-06-13,25.9962
2017-06-27,1.071
2017-06-29,-5.0066
2017-06-30,11.5449
2017-07-03,12.5
2017-07-05,33.3333
2017-07-13,16.6667
2017-07-31,7.1429
2017-08-01,0.0
2017-08-02,0.0
2017-08-03,0.0
2017-10-18,-6.6667
2017-10-27,-14.2857
2018-03-15,-15.0
2018-05-02,35.2941
2018-05-30,-20.2899
2018-06-13,18.75
2018-06-18,-78.9474
2018-06-28,445.4545
2018-07-20,-83.3333
2018-08-08,-52.0
2018-08-23,566.6667
2018-09-06,59.375
2018-09-07,47.0588
2018-09-10,0.0
2018-09-11,-40.0
2018-09-28,66.6667
2018-10-08,-60.0
2019-02-12,-16.6667
2019-02-14,0.0
2019-03-06,-4.0
2019-03-07,4.1667
2019-03-12,0.0
2019-03-13,-20.0
2019-03-22,-32.5
2019-06-14,-77.7778
2019-06-26,166.6667
2019-07-16,-31.25
2019-07-17,-18.1818
2019-07-26,55.5556
2019-07-30,-70.0
2019-09-06,542.8571
2019-09-09,-25.9259
2019-09-10,-9.0
2019-09-11,-12.0879
2019-09-12,13.75
2019-09-13,-1.0989
2019-09-16,11.1111
2019-09-18,-0.1
2019-09-19,-57.958
2019-09-30,280.9524
2019-10-01,-74.5
2019-10-07,-12.7451
2019-10-14,-15.7303
2019-10-16,-16.6667
2019-10-18,0.0
2019-10-24,520.0
2019-10-25,-6.4516
2019-11-25,-3.4483
2019-11-26,-70.0
2019-11-27,0.0
2019-12-05,0.0
2019-12-10,0.0
2019-12-19,-18.8095
2019-12-30,2.6393
2020-01-30,14.2857
2020-03-09,-14.75
2020-03-12,-26.6862
2020-04-22,0.0
2020-04-23,25.2
2020-05-01,-13.738
2020-05-05,362.963
2020-05-07,0.0
2020-05-12,0.0
2020-05-13,0.0
2020-05-15,0.0
2020-05-28,-80.0
2020-06-01,0.0
2020-06-11,0.0
2020-06-16,360.0
2020-06-17,-78.2609
2020-06-25,4.0
2020-06-30,361.5385
2020-07-02,0.0
2020-07-07,-40.375
2020-07-22,-0.7687
2020-07-24,-15.493
2020-07-28,-25.0
