ticker,VRA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-10-21,55.3125
2010-10-22,8.2495
2010-10-25,1.8959000000000001
2010-10-26,4.232
2010-10-27,0.735
2010-10-28,-3.2314
2010-10-29,-1.7953000000000001
2010-11-01,0.0
2010-11-02,1.17
2010-11-03,0.0723
2010-11-04,0.7584
2010-11-05,4.1935
2010-11-08,5.16
2010-11-09,1.6356000000000002
2010-11-10,-1.9472
2010-11-11,-1.4935
2010-11-12,-3.6988
2010-11-15,2.7336
2010-11-16,-3.1324
2010-11-17,-2.9207
2010-11-18,2.7579000000000002
2010-11-19,0.732
2010-11-22,1.0381
2010-11-23,0.5479
2010-11-24,5.1601
2010-11-26,-0.4049
2010-11-29,0.813
2010-11-30,5.6129
2010-12-01,1.3745
2010-12-02,3.1937
2010-12-03,0.5255
2010-12-06,5.199
2010-12-07,-1.3528
2010-12-08,0.7277
2010-12-09,0.6391
2010-12-10,0.5246
2010-12-13,1.2634
2010-12-14,-0.3526
2010-12-15,-0.4083
2010-12-16,4.6461
2010-12-17,1.5931
2010-12-20,1.6452
2010-12-21,0.9863
2010-12-22,-6.9872
2010-12-23,-3.0964
2010-12-27,-4.3068
2010-12-28,-5.5168
2010-12-29,0.2459
2010-12-30,4.1999
2010-12-31,-2.9126
2011-01-03,4.5152
2011-01-04,0.4349
2011-01-05,3.3487
2011-01-06,2.2067
2011-01-07,1.0932
2011-01-10,-1.9465
2011-01-11,-0.6066
2011-01-12,3.2178
2011-01-13,2.3112
2011-01-14,-3.0733
2011-01-18,-5.0949
2011-01-19,-0.771
2011-01-20,2.0432
2011-01-21,-1.5510000000000002
2011-01-24,0.2578
2011-01-25,-3.2
2011-01-26,2.0956
2011-01-27,-1.0697
2011-01-28,-1.0812
2011-01-31,1.6099999999999999
2011-02-01,3.2999
2011-02-02,0.8444
2011-02-03,1.0327
2011-02-04,0.4972
2011-02-07,-0.11
2011-02-08,0.055
2011-02-09,-1.4301
2011-02-10,0.5301
2011-02-11,3.5803000000000003
2011-02-14,-0.3751
2011-02-15,-0.9683
2011-02-16,-1.874
2011-02-17,-0.6366
2011-02-18,0.0279
2011-02-22,-6.2378
2011-02-23,0.3861
2011-02-24,-0.1183
2011-02-25,1.8660999999999999
2011-02-28,-0.1163
2011-03-01,-1.1936
2011-03-02,1.3259
2011-03-03,-1.7156
2011-03-04,1.4793
2011-03-07,0.0875
2011-03-08,0.6991
2011-03-09,-0.9257
2011-03-10,-1.4015
2011-03-11,2.1025
