ticker,BOX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-01-23,65.9286
2015-01-26,-2.7119999999999997
2015-01-27,-5.7522
2015-01-28,-7.1362
2015-01-29,-4.9545
2015-01-30,0.0532
2015-02-02,-4.1999
2015-02-03,1.2209
2015-02-04,-6.25
2015-02-05,-2.5731
2015-02-06,8.7635
2015-02-09,8.1678
2015-02-10,7.0918
2015-02-11,-0.1429
2015-02-12,-3.7691
2015-02-13,0.0496
2015-02-17,-5.5996
2015-02-18,-5.5118
2015-02-19,5.3333
2015-02-20,-0.5802
2015-02-23,-3.3952
2015-02-24,3.4047
2015-02-25,-0.8497
2015-02-26,1.4462
2015-02-27,-1.4784
2015-03-02,0.6967
2015-03-03,-1.0644
2015-03-04,2.2055
2015-03-05,0.7368
2015-03-06,-1.2017
2015-03-09,2.5911999999999997
2015-03-10,1.2371
2015-03-11,4.5316
2015-03-12,-11.3492
2015-03-13,-1.7582
2015-03-16,-4.1946
2015-03-17,-0.0584
2015-03-18,-0.6425
2015-03-19,0.2939
2015-03-20,0.8792
2015-03-23,-0.5811
2015-03-24,-0.6429
2015-03-25,-0.1765
2015-03-26,3.3589
2015-03-27,4.333
2015-03-30,4.0984
2015-03-31,3.6745
2015-04-01,-5.5696
2015-04-02,-4.0214
2015-04-06,-1.3408
2015-04-07,-0.2831
2015-04-08,-1.4196
2015-04-09,-1.4977
2015-04-10,-0.2924
2015-04-13,0.2933
2015-04-14,2.4561
2015-04-15,0.9703
2015-04-16,0.7349
2015-04-17,-0.1684
2015-04-20,0.787
2015-04-21,-0.0558
2015-04-22,2.0647
2015-04-23,-0.0547
2015-04-24,-2.8993
2015-04-27,-1.0141
2015-04-28,-0.3984
2015-04-29,-1.6571
2015-04-30,-0.5811
2015-05-01,2.2794
2015-05-04,-0.5714
2015-05-05,0.1724
2015-05-06,-2.2375
2015-05-07,0.0
2015-05-08,0.3521
2015-05-11,1.2281
2015-05-12,-0.4044
2015-05-13,-0.232
2015-05-14,-0.6977
2015-05-15,-0.7611
2015-05-18,-0.472
2015-05-19,-0.2371
2015-05-20,0.1783
2015-05-21,0.1186
2015-05-22,0.7109
2015-05-26,0.0588
2015-05-27,4.3504
2015-05-28,-0.7324
2015-05-29,0.1135
2015-06-01,-0.7937
2015-06-02,-0.7429
2015-06-03,-0.1727
2015-06-04,-0.0577
2015-06-05,1.1541
2015-06-08,0.5134
2015-06-09,-3.9728
2015-06-10,5.1418
2015-06-11,2.8106
2015-06-12,-5.6862
