ticker,SGBX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-06-22,-1.6
2017-06-23,0.6098
2017-06-26,-2.0202
2017-06-27,-1.0309
2017-06-28,2.0833
2017-06-29,-9.7959
2017-06-30,6.3347999999999995
2017-07-03,-0.6383
2017-07-05,2.5696
2017-07-06,-0.2088
2017-07-07,1.8828
2017-07-10,3.4908
2017-07-11,0.1984
2017-07-12,-1.9802
2017-07-13,-2.2222
2017-07-14,-1.6529
2017-07-17,1.8908
2017-07-18,-7.2165
2017-07-19,-3.3333
2017-07-20,-3.2184
2017-07-21,3.5629
2017-07-24,0.9174
2017-07-25,-3.4091
2017-07-26,-10.1176
2017-07-27,5.2356
2017-07-28,-6.7164
2017-07-31,4.0
2017-08-01,-2.5641
2017-08-02,1.5789
2017-08-03,-1.0363
2017-08-04,6.0209
2017-08-07,-2.4691
2017-08-08,5.0633
2017-08-09,8.4337
2017-08-10,-2.6667
2017-08-11,-8.2192
2017-08-14,9.7015
2017-08-15,-0.2268
2017-08-16,-5.2273
2017-08-17,-4.3165
2017-08-18,-1.0025
2017-08-21,-2.5316
2017-08-22,2.3377
2017-08-23,0.0
2017-08-24,-1.2690000000000001
2017-08-25,-2.0566
2017-08-28,-0.2625
2017-08-29,1.3158
2017-08-30,0.0
2017-08-31,0.0
2017-09-01,-1.039
2017-09-05,4.9869
2017-09-06,4.75
2017-09-07,3.8186
2017-09-08,9.8851
2017-09-11,-0.8368
2017-09-12,4.8523
2017-09-13,0.0
2017-09-14,-0.6036
2017-09-15,-9.1093
2017-09-18,3.5635
2017-09-19,-2.1505
2017-09-20,3.2967
2017-09-22,4.2553
2017-09-25,-3.6734999999999998
2017-09-26,-2.5423999999999998
2017-09-27,-2.3913
2017-09-28,-3.7862
2017-09-29,-0.9259
2017-10-02,0.4673
2017-10-03,22.7907
2017-10-04,6.0606
2017-10-05,0.0
2017-10-06,-3.5714
2017-10-09,0.7407
2017-10-10,-0.7353
2017-10-11,-4.4444
2017-10-12,4.2636
2017-10-13,-0.7435
2017-10-16,1.6854
2017-10-17,4.0516
2017-10-18,9.3805
2017-10-19,-4.6926
2017-10-20,0.7267
2017-10-23,1.1327
2017-10-24,6.1667
2017-10-25,-5.3846
2017-10-26,-0.448
2017-10-27,-0.5
2017-10-30,-2.5126
2017-10-31,-3.6082
2017-11-01,-6.2389
2017-11-02,5.8934999999999995
2017-11-03,0.8977
2017-11-06,-0.3559
2017-11-07,0.0
2017-11-08,0.0
2017-11-09,-0.3571
