ticker,DMKBA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-10-04,190.5569
2011-07-20,15.5867
2012-02-03,-3.9504
2012-11-05,3.3856
2012-11-15,0.639
2012-12-26,7.2299
2012-12-28,-4.5455
2013-01-30,14.7619
2013-10-04,3.7344
2013-10-14,-2.1333
2013-12-23,4.3597
2014-01-14,4.4386
2014-02-03,23.75
2014-03-12,1.0101
2014-10-07,1.2
2014-11-14,-1.1858
2015-05-08,10.0
2015-10-23,0.0
2016-02-11,-20.0
2016-02-12,7.9545
2016-04-25,-8.6316
2016-05-26,38.2488
2016-05-31,-2.5
2016-08-03,-1.2859
2016-08-05,-14.473700000000001
2016-08-10,10.7692
2016-08-22,-9.7222
2016-08-26,0.0
2016-09-06,-4.6154
2016-09-08,3.2258
2016-09-09,-2.1875
2016-09-21,3.8339
2016-09-26,-3.3846
2016-10-17,0.3822
2016-10-20,2.4746
2016-10-24,0.0
2016-10-25,5.2632
2016-10-28,0.5882
2016-11-01,0.0
2016-11-11,3.8012
2016-11-14,0.0
2017-01-17,-2.5436
2017-02-07,15.5425
2017-02-10,0.0
2017-02-13,-13.0457
2017-02-15,5.0788
2017-02-16,8.3333
2017-02-17,0.0
2017-03-02,-10.9744
2017-03-13,0.288
2017-03-22,1.3785
2017-04-13,1.983
2017-05-12,3.3333
2017-05-26,-0.5376
2017-06-09,1.8378
2017-06-27,1.7652999999999999
2017-07-03,3.1309
2017-07-05,-1.2821
2017-07-06,3.8961
2017-07-14,2.5
2017-07-19,0.0
2017-07-24,-9.2683
2017-09-11,0.3226
2017-09-13,10.3966
2017-10-12,9.7087
2017-12-05,2.3058
2017-12-06,0.6565
2017-12-07,0.0
2017-12-28,0.0
2018-01-08,0.0087
2018-02-22,0.426
2018-03-15,3.8528000000000002
2018-03-16,0.0417
2018-03-20,2.125
2018-04-03,0.9792
2018-04-19,-6.4646
2018-04-27,3.6717
2018-05-07,-3.125
2018-05-18,16.129
2018-06-05,3.7037
2018-07-10,-12.9108
2018-07-27,0.6128
2018-08-24,0.2058
2018-08-29,-1.0267
2018-09-04,0.0
2018-09-17,0.6307
2018-09-21,-0.0082
2018-09-28,0.0412
2018-10-01,-0.0412
2018-10-08,0.0
2018-10-10,0.0
2018-10-17,0.0
2018-11-08,0.0
2018-12-03,-1.0309
2018-12-12,1.125
2018-12-19,0.0417
2018-12-20,1.25
2018-12-27,-5.144
2018-12-28,5.423
2019-01-04,-2.2593
2019-01-08,-0.0042
2019-01-15,0.0
