ticker,INFT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-08-15,-1.4285999999999999
2018-08-17,-3.3816
2018-08-22,0.0
2018-09-06,-1.0
2018-09-07,0.0
2018-09-24,1.0101
2018-11-06,-0.3
2018-11-07,0.0
2018-12-11,-4.7141
2018-12-14,-2.6316
2018-12-21,0.0
2018-12-28,2.7027
2019-02-01,4.9474
2019-02-06,-3.9116999999999997
2019-02-12,-3.4447
2019-02-26,2.7027
2019-03-01,0.0
2019-03-04,0.0
2019-03-28,0.0
2019-03-29,-4.6316
2019-04-02,-0.6623
2019-04-04,-0.2778
2019-04-22,-0.6128
2019-04-23,2.0179
2019-05-02,-1.0989
2019-05-03,-5.5556
2019-05-06,2.3529
2019-05-07,3.4483
2019-05-08,0.0
2019-05-09,6.1111
2019-05-30,-12.0419
2019-05-31,-1.7856999999999998
2019-06-04,2.4242
2019-06-05,5.9172
2019-06-07,-5.0279
2019-06-10,-2.9412000000000003
2019-06-28,-1.2121
2019-07-01,0.0
2019-07-05,-0.6135
2019-07-09,-0.6173
2019-07-10,0.0
2019-08-02,-1.8634
2019-08-05,1.2658
2019-08-06,-2.5
2019-08-08,-0.2564
2019-08-13,-2.3136
2019-08-14,-0.6579
2019-08-16,3.9735
2019-08-19,-1.2739
2019-08-26,2.5806
2019-08-28,-3.1447
2019-11-07,1.2987
2019-11-13,-1.2821
2019-11-22,0.0
2019-11-25,7.1429
2019-11-26,29.9394
2020-01-02,-10.4478
2020-02-13,0.0
2020-03-13,-1.5625
2020-06-10,-2.6455
2020-06-22,-0.2174
2020-06-23,-17.2113
