ticker,EVSO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-05-12,-64.7059
2008-05-23,573.3333
2008-05-27,73.2673
2008-06-04,-25.7143
2008-06-12,0.0
2008-06-16,0.0
2008-06-19,12.3077
2008-06-20,19.863
2008-06-23,5.7143
2008-06-24,0.0
2008-06-25,0.0
2008-06-26,3.7838000000000003
2008-06-27,0.0
2008-06-30,4.1667
2008-07-01,2.0
2008-07-02,10.2941
2008-07-03,-7.1111
2008-07-07,0.4785
2008-07-08,-7.1429
2008-07-09,-20.0
2008-07-10,-8.9744
2008-07-11,-8.4507
2008-07-14,11.538499999999999
2008-07-15,13.1034
2008-07-16,12.8049
2008-07-17,16.2162
2008-07-18,5.1163
2008-07-21,-7.9646
2008-07-22,0.9615
2008-07-23,-6.1905
2008-07-24,4.0609
2008-07-25,-4.3902
2008-07-28,-0.5102
2008-07-29,-7.6923
2008-07-30,-5.5556
2008-07-31,4.1176
2008-08-01,-1.1299
2008-08-04,5.7143
2008-08-05,-1.6216
2008-08-06,7.1429
2008-08-07,12.8205
2008-08-08,7.7273
2008-08-11,14.767900000000001
2008-08-12,-11.7647
2008-08-13,-10.8333
2008-08-14,0.0
2008-08-15,0.4673
2008-08-18,5.1163
2008-08-19,-0.885
2008-08-20,-4.0179
2008-08-21,3.7209
2008-08-22,-3.5874
2008-08-25,-5.1163
2008-08-26,-0.9804
2008-08-27,-1.4851
2008-08-28,0.5025
2008-08-29,0.5
2008-09-02,2.4876
2008-09-03,-2.9126
2008-09-04,2.0
2008-09-05,-0.4902
2008-09-08,-13.7931
2008-09-09,-5.7143
2008-09-10,-6.6667
2008-09-11,-8.4416
2008-09-12,-0.7092
2008-09-15,-2.8571
2008-09-16,-5.8824
2008-09-17,1.5625
2008-09-18,1.5385
2008-09-19,2.2727
2008-09-22,11.8519
2008-09-23,-3.9735
2008-09-24,-5.5172
2008-09-25,0.7299
2008-09-26,-3.6231999999999998
2008-09-29,-8.2707
2008-09-30,4.0984
2008-10-01,-4.7244
2008-10-02,9.0909
2008-10-03,7.5758
2008-10-06,-9.8592
2008-10-07,-5.4688
2008-10-08,-8.2645
2008-10-09,-0.9009
2008-10-10,2.7273
2008-10-13,2.6549
2008-10-14,6.0345
2008-10-15,2.439
2008-10-16,0.0
2008-10-17,3.1746
2008-10-20,-0.7692
2008-10-21,3.1008
2008-10-22,0.0
2008-10-23,-2.2556
2008-10-24,0.7692
2008-10-27,-4.5802
2008-10-28,0.0
2008-10-29,0.0
