ticker,ETSY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-04-16,87.5
2015-04-17,-8.0667
2015-04-20,-9.7172
2015-04-21,3.4137
2015-04-22,-2.4466
2015-04-23,1.9904
2015-04-24,-0.1561
2015-04-27,1.251
2015-04-28,-5.444
2015-04-29,-8.4524
2015-04-30,-0.8029
2015-05-01,-2.2032
2015-05-04,6.8506
2015-05-05,3.9157
2015-05-06,-3.1056
2015-05-07,1.2393
2015-05-08,-4.1368
2015-05-11,-8.1902
2015-05-12,-1.3429
2015-05-13,-3.5975
2015-05-14,3.883
2015-05-15,-2.6699
2015-05-18,2.5436
2015-05-19,2.1401
2015-05-20,-18.0952
2015-05-21,1.8023
2015-05-22,-1.9417
2015-05-26,-0.4659
2015-05-27,-0.1755
2015-05-28,-0.1172
2015-05-29,-1.6432
2015-06-01,-4.2363
2015-06-02,-1.1838
2015-06-03,-3.4048
2015-06-04,-1.6319
2015-06-05,-0.2654
2015-06-08,-1.1311
2015-06-09,7.6043
2015-06-10,4.9406
2015-06-11,0.4768
2015-06-12,-1.3049
2015-06-15,-1.9231
2015-06-16,-0.1838
2015-06-17,-3.1921
2015-06-18,-2.7901
2015-06-19,-6.6536
2015-06-22,0.7687
2015-06-23,-0.5548
2015-06-24,0.3487
2015-06-25,3.5441000000000003
2015-06-26,-4.3624
2015-06-29,-0.1404
2015-06-30,-1.2649
2015-07-01,-0.2847
2015-07-02,-5.2819
2015-07-06,0.9797
2015-07-07,-0.597
2015-07-08,9.2342
2015-07-09,11.3402
2015-07-10,2.037
2015-07-13,-3.0248
2015-07-14,2.9943999999999997
2015-07-15,1.8776000000000002
2015-07-16,0.0595
2015-07-17,30.6001
2015-07-20,-11.01
2015-07-21,-2.9652
2015-07-22,-2.7923999999999998
2015-07-23,-0.0542
2015-07-24,4.718
2015-07-27,-5.2305
2015-07-28,1.9125999999999999
2015-07-29,1.7694
2015-07-30,11.6965
2015-07-31,-1.6981000000000002
2015-08-03,-1.6315
2015-08-04,-6.1951
2015-08-05,-28.3411
2015-08-06,-1.3788
2015-08-07,-1.1038000000000001
2015-08-10,6.3244
2015-08-11,12.0364
2015-08-12,5.4341
2015-08-13,0.6517
2015-08-14,0.5297
2015-08-17,1.5808
2015-08-18,-8.5879
2015-08-19,-5.5485
2015-08-20,-4.8732
2015-08-21,-5.5439
2015-08-24,-3.9375999999999998
2015-08-25,-0.464
2015-08-26,1.3209
2015-08-27,9.5859
2015-08-28,3.7089
2015-08-31,-3.3063000000000002
