ticker,LASLY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-12-10,4.75
2010-12-13,-3.3413
2010-12-14,-0.8642
2010-12-15,-0.3736
2010-12-16,0.0
2010-12-17,0.0
2010-12-20,0.0
2010-12-21,0.125
2010-12-22,-0.1248
2010-12-23,0.0
2010-12-27,-9.25
2010-12-28,-3.4435000000000002
2010-12-29,0.1427
2010-12-30,0.0071
2010-12-31,-0.1496
2011-01-03,-3.281
2011-01-04,-1.1799
2011-01-05,0.2985
2011-01-06,0.0
2011-01-07,-3.125
2011-01-10,-1.5361
2011-01-11,-4.3682
2011-01-12,-6.0359
2011-01-13,-2.4306
2011-01-14,0.9786
2011-01-18,4.141
2011-01-19,-1.692
2011-01-20,4.6472
2011-01-21,7.8947
2011-01-24,2.2866
2011-01-25,-4.4709
2011-01-26,2.5585
2011-01-27,6.3126999999999995
2011-01-28,5.0222
2011-01-31,-3.2698
2011-02-01,-1.831
2011-02-02,-11.6212
2011-02-03,-1.1364
2011-02-04,0.0
2011-02-07,-4.7619
2011-02-08,0.0
2011-02-09,-1.7241
2011-02-10,-2.9825
2011-02-11,0.7233
2011-02-14,1.9748999999999999
2011-02-15,0.3521
2011-02-16,0.0
2011-02-17,0.0
2011-02-18,-2.2807
2011-02-22,-0.3591
2011-02-23,-4.5045
2011-02-24,-3.7736
2011-02-25,-2.549
2011-02-28,3.0181
2011-03-01,-4.2969
2011-03-02,-0.4082
2011-03-03,0.8197
2011-03-04,-1.4228
2011-03-07,-3.9175
2011-03-08,-1.2876
2011-03-09,0.0
2011-03-10,0.6522
2011-03-11,0.432
2011-03-14,-1.4624
2011-03-15,-2.0079
2011-03-16,-2.0045
2011-03-17,-5.6818
2011-03-18,-5.0602
2011-03-21,2.0305
2011-03-22,0.2736
2011-03-23,-2.0094
2011-03-24,0.0
2011-03-25,0.0
2011-03-28,1.2658
2011-03-29,6.0
2011-03-30,8.9623
2011-03-31,5.6277
2011-04-01,-6.8648
2011-04-04,-3.1903
2011-04-05,-1.5909
2011-04-06,-0.6928
2011-04-07,-2.093
2011-04-08,0.0
2011-04-11,-2.3753
2011-04-12,-3.163
2011-04-13,-2.0101
2011-04-14,-1.0256
2011-04-15,-1.5544
2011-04-18,-8.4211
2011-04-19,-4.8850999999999996
2011-04-20,-3.0211
2011-04-21,1.2461
2011-04-25,-2.4615
2011-04-26,2.5237
2011-04-27,-1.2308
2011-04-28,-1.2461
2011-04-29,-3.1546
2011-05-02,0.0
2011-05-03,-1.9544000000000001
