ticker,CVIAQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-06-04,-1.8367
2018-06-05,-4.0333
2018-06-06,0.7366
2018-06-07,4.5161
2018-06-08,-8.3128
2018-06-11,-2.7828
2018-06-12,0.6464
2018-06-13,0.2294
2018-06-14,-0.2746
2018-06-15,-4.7269
2018-06-18,1.0116
2018-06-19,-0.2861
2018-06-20,-4.4955
2018-06-21,-5.1077
2018-06-22,4.1689
2018-06-25,-3.3435
2018-06-26,1.0482
2018-06-27,-1.7116
2018-06-28,-0.7916
2018-06-29,-1.2766
2018-07-02,0.0
2018-07-03,-1.6164
2018-07-05,1.0405
2018-07-06,-4.2818
2018-07-09,1.5855000000000001
2018-07-10,-3.0658
2018-07-11,-4.1978
2018-07-12,-0.4202
2018-07-13,1.2055
2018-07-16,0.8934
2018-07-17,-1.4758
2018-07-18,0.1198
2018-07-19,-3.8899
2018-07-20,-0.6227
2018-07-23,-0.6266
2018-07-24,-1.8285
2018-07-25,3.0829
2018-07-26,6.4798
2018-07-27,4.7396
2018-07-30,0.5587
2018-07-31,0.1667
2018-08-01,0.0
2018-08-02,-3.6051
2018-08-03,-2.4166
2018-08-06,-0.6486
2018-08-07,-0.8309
2018-08-08,-0.778
2018-08-09,0.7238
2018-08-10,1.4969999999999999
2018-08-13,-2.4189
2018-08-14,-17.11
2018-08-15,-10.6492
2018-08-16,-2.1224
2018-08-17,4.4204
2018-08-20,-0.9585
2018-08-21,1.6129
2018-08-22,2.6189999999999998
2018-08-23,-0.9281
2018-08-24,0.7026
2018-08-27,-5.814
2018-08-28,-0.9053
2018-08-29,-3.6545
2018-08-30,-3.8792999999999997
2018-08-31,1.6143
2018-09-04,-5.1192
2018-09-05,1.0233
2018-09-06,-5.1565
2018-09-07,-3.3981
2018-09-10,-3.0151
2018-09-11,1.7617
2018-09-12,-2.444
2018-09-13,-5.5324
2018-09-14,0.1105
2018-09-17,0.7726
2018-09-18,3.8335
2018-09-19,3.1646
2018-09-20,-3.2720000000000002
2018-09-21,2.6427
2018-09-24,2.4717000000000002
2018-09-25,0.804
2018-09-26,-3.8883
2018-09-27,-6.3278
2018-09-28,-0.6645
2018-10-01,3.01
2018-10-02,-3.355
2018-10-03,3.8074
2018-10-04,1.9417
2018-10-05,-2.2222
2018-10-08,5.4113
2018-10-09,-5.5441
2018-10-10,-10.0
2018-10-11,-7.7295
2018-10-12,-1.5707
2018-10-15,-1.5957
2018-10-16,2.7027
2018-10-17,-7.6316
2018-10-18,-3.4188
