ticker,TXG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-09-12,35.2564
2019-09-13,-0.91
2019-09-16,5.6055
2019-09-17,2.8623
2019-09-18,9.1934
2019-09-19,-1.4194
2019-09-20,-1.0144
2019-09-23,-0.281
2019-09-24,-9.995
2019-09-25,-2.8361
2019-09-26,-5.2501999999999995
2019-09-27,2.0804
2019-09-30,-1.2346
2019-10-01,-6.6865
2019-10-02,-2.0413
2019-10-03,4.4498
2019-10-04,6.9202
2019-10-07,-2.1186
2019-10-08,-1.6084
2019-10-09,0.9284
2019-10-10,-3.1394
2019-10-11,1.7753999999999999
2019-10-14,1.9473
2019-10-15,-3.1834
2019-10-16,5.076
2019-10-17,1.4864
2019-10-18,1.1756
2019-10-21,1.6381000000000001
2019-10-22,2.3801
2019-10-23,7.322
2019-10-24,-3.0872
2019-10-25,-7.603
2019-10-28,6.7619
2019-10-29,-2.3015
2019-10-30,5.3689
2019-10-31,0.5199
2019-11-01,0.431
2019-11-04,-0.721
2019-11-05,-4.323
2019-11-06,-2.2953
2019-11-07,2.2568
2019-11-08,0.7959
2019-11-11,8.2197
2019-11-12,-1.0779
2019-11-13,2.1794000000000002
2019-11-14,4.1838
2019-11-15,6.8504000000000005
2019-11-18,-9.5947
2019-11-19,5.0049
2019-11-20,-1.3352
2019-11-21,-2.738
2019-11-22,3.3166
2019-11-25,3.3511
2019-11-26,-2.9697
2019-11-27,-2.3111
2019-11-29,3.7244
2019-12-02,-0.2157
2019-12-03,0.3243
2019-12-04,-2.1706
2019-12-05,-1.4792
2019-12-06,1.2778
2019-12-09,-0.3312
2019-12-10,4.3513
2019-12-11,-1.1979
2019-12-12,-5.5556
2019-12-13,-0.9262
2019-12-16,1.673
2019-12-17,0.0484
2019-12-18,12.3992
2019-12-19,-11.4474
2019-12-20,19.5853
2019-12-23,7.7486
2019-12-24,-0.1257
2019-12-26,-6.2815
2019-12-27,4.9698
2019-12-30,-2.5848
2019-12-31,0.1576
2020-01-02,-4.4852
2020-01-03,3.7485
2020-01-06,-0.0132
2020-01-07,0.5692
2020-01-08,-1.5004
2020-01-09,3.1133
2020-01-10,3.3433
2020-01-13,4.9780999999999995
2020-01-14,1.0631
2020-01-15,1.4064999999999999
2020-01-16,0.1049
2020-01-17,-2.6313
2020-01-21,4.9265
2020-01-22,4.6268
2020-01-23,3.5399000000000003
2020-01-24,6.0278
2020-01-27,2.401
2020-01-28,3.3039
2020-01-29,-6.8749
2020-01-30,-5.781
2020-01-31,-2.3089
