ticker,GPRO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-06-26,30.5833
2014-06-27,14.1034
2014-06-30,13.3949
2014-07-01,20.3449
2014-07-02,-13.8522
2014-07-03,-1.0942
2014-07-07,5.7242
2014-07-08,-4.0039
2014-07-09,2.6066000000000003
2014-07-10,-3.1409
2014-07-11,-7.3915
2014-07-14,-5.1493
2014-07-15,13.0022
2014-07-16,-1.7534999999999998
2014-07-17,-1.3692
2014-07-18,2.702
2014-07-21,0.3621
2014-07-22,3.6555999999999997
2014-07-23,-3.1555
2014-07-24,1.0781
2014-07-25,-0.4977
2014-07-28,3.0253
2014-07-29,1.896
2014-07-30,5.096
2014-07-31,3.5715
2014-08-01,-14.5925
2014-08-04,-5.9556000000000004
2014-08-05,0.8824
2014-08-06,-0.3859
2014-08-07,-0.0517
2014-08-08,-2.7132
2014-08-11,1.4607999999999999
2014-08-12,-0.4192
2014-08-13,0.3947
2014-08-14,3.404
2014-08-15,0.7597
2014-08-18,5.1772
2014-08-19,3.6081
2014-08-20,1.2223
2014-08-21,-1.6404999999999998
2014-08-22,0.278
2014-08-25,1.2936
2014-08-26,3.2839
2014-08-27,0.4637
2014-08-28,7.4725
2014-08-29,5.9305
2014-09-02,4.1313
2014-09-03,5.4134
2014-09-04,-6.6479
2014-09-05,10.682
2014-09-08,8.1191
2014-09-09,1.0548
2014-09-10,6.6677
2014-09-11,-0.2775
2014-09-12,1.3181
2014-09-15,-2.8621
2014-09-16,-2.9314999999999998
2014-09-17,3.0507
2014-09-18,-1.324
2014-09-19,1.3115999999999999
2014-09-22,1.5923
2014-09-23,6.7526
2014-09-24,7.6564
2014-09-25,3.6324
2014-09-26,0.9716
2014-09-29,10.7674
2014-09-30,3.035
2014-10-01,-2.0277
2014-10-02,-6.9063
2014-10-03,1.7669000000000001
2014-10-06,7.8418
2014-10-07,0.064
2014-10-08,-4.1769
2014-10-09,-0.834
2014-10-10,-4.6311
2014-10-13,-9.853
2014-10-14,-2.1390000000000002
2014-10-15,-2.8788
2014-10-16,-0.247
2014-10-17,2.6689
2014-10-20,1.8357
2014-10-21,6.4737
2014-10-22,-1.0257
2014-10-23,-1.1737
2014-10-24,-9.1472
2014-10-27,-9.7344
2014-10-28,6.7632
2014-10-29,-2.0346
2014-10-30,0.5303
2014-10-31,12.967
2014-11-03,9.3645
2014-11-04,-2.4312
2014-11-05,-7.755
2014-11-06,3.7818
2014-11-07,0.3809
2014-11-10,-4.1867
2014-11-11,-0.9901
