ticker,JRVS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-08-05,33.3333
2013-08-07,-12.5
2013-08-08,0.0
2013-08-09,-14.2857
2013-08-12,16.6667
2013-08-22,5.7143
2013-08-30,-2.7027
2013-09-09,5.5556
2013-09-12,5.2632
2013-09-13,0.0
2013-10-17,100.0
2013-10-18,37.5
2013-11-19,-36.3636
2013-12-19,4.8571
2013-12-30,8.9918
2013-12-31,-7.5
2014-01-22,-18.9189
2014-01-23,-1.6667
2014-03-05,1.6949
2014-03-07,8.3333
2014-03-10,9.2308
2014-03-12,1.4085
2014-03-13,1.3889
2014-03-14,4.9315
2014-03-17,4.4386
2014-03-18,0.0
2014-03-19,6.25
2014-03-20,3.5294
2014-03-24,7.9545
2014-03-25,10.526299999999999
2014-03-26,2.8571
2014-03-28,1.8519
2014-03-31,0.0
2014-04-01,2.9091
2014-04-02,1.5901
2014-04-03,3.4783
2014-04-07,0.8403
2014-04-08,0.0
2014-04-09,2.5
2014-04-10,-2.439
2014-04-11,0.0
2014-04-14,10.0
2014-04-15,-3.0303
2014-04-16,6.25
2014-04-17,2.9412000000000003
2014-04-21,5.7143
2014-04-22,0.0
2014-04-23,5.4054
2014-04-24,-4.1026
2014-04-25,-6.4171
2014-04-28,0.0
2014-04-29,-2.8571
2014-04-30,-8.2353
2014-05-01,2.5641
2014-05-02,0.0
2014-05-05,6.25
2014-05-06,0.0
2014-05-07,-2.9412000000000003
2014-05-09,3.0303
2014-05-12,5.8824
2014-05-13,0.0
2014-05-14,2.7778
2014-05-15,0.0
2014-05-16,-2.1622
2014-05-19,-0.5525
2014-05-20,-5.0
2014-05-21,1.1696
2014-05-22,-1.7341
2014-05-23,0.0
2014-05-27,0.0
2014-05-28,-2.9412000000000003
2014-05-30,-3.0303
2014-06-02,2.5
2014-06-03,0.0
2014-06-04,0.6098
2014-06-05,3.0303
2014-06-06,-1.1764999999999999
2014-06-09,0.5952
2014-06-10,-4.142
2014-06-11,0.0
2014-06-12,3.0864
2014-06-13,1.7964
2014-06-16,0.0
2014-06-17,0.5882
2014-06-18,1.1696
2014-06-19,0.0
2014-06-20,0.0
2014-06-24,2.8902
2014-06-25,0.0
2014-06-26,0.0
2014-06-27,-5.618
2014-06-30,2.3810000000000002
2014-07-01,1.1628
2014-07-02,-1.1494
2014-07-03,0.5814
2014-07-08,0.578
2014-07-09,0.5747
2014-07-10,1.1429
2014-07-11,1.6949
2014-07-14,0.0
2014-07-15,0.0
2014-07-16,5.5556
