ticker,MPWR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-11-19,15.7647
2004-11-22,-2.2358000000000002
2004-11-23,-2.4948
2004-11-24,4.2537
2004-11-26,0.2147
2004-11-29,-0.0102
2004-11-30,0.8266
2004-12-01,1.1134
2004-12-02,8.6086
2004-12-03,2.6728
2004-12-06,-0.0898
2004-12-07,-1.9766
2004-12-08,-0.0917
2004-12-09,-0.8257
2004-12-10,-3.7003
2004-12-13,-0.7685
2004-12-14,-0.9681
2004-12-15,-1.7595
2004-12-16,-0.398
2004-12-17,-5.0949
2004-12-20,-2.1053
2004-12-21,1.8279999999999998
2004-12-22,1.4784
2004-12-23,1.6129
2004-12-27,-0.4608
2004-12-28,-2.2634
2004-12-29,0.0
2004-12-30,-1.1579
2004-12-31,-0.9585
2005-01-03,-4.6237
2005-01-04,-2.4803
2005-01-05,-4.0462
2005-01-06,-0.7229
2005-01-07,0.1214
2005-01-10,-5.4545
2005-01-11,-7.4359
2005-01-12,-8.5873
2005-01-13,-5.6061
2005-01-14,0.8026
2005-01-18,0.1592
2005-01-19,0.7949
2005-01-20,8.0442
2005-01-21,11.8248
2005-01-24,3.3943
2005-01-25,-1.0101
2005-01-26,-0.8929
2005-01-27,-1.4157
2005-01-28,-0.5222
2005-01-31,-3.1496
2005-02-01,1.626
2005-02-02,0.9333
2005-02-03,-2.9062
2005-02-04,2.9932
2005-02-07,-0.6605
2005-02-08,1.3298
2005-02-09,-6.9554
2005-02-10,-2.5388
2005-02-11,3.7627
2005-02-14,4.8815
2005-02-15,-2.1277
2005-02-16,-3.0027
2005-02-17,-2.5074
2005-02-18,-6.8966
2005-02-22,-0.463
2005-02-23,-1.3953
2005-02-24,0.1572
2005-02-25,2.5118
2005-02-28,-2.144
2005-03-01,0.7825
2005-03-02,-1.5528
2005-03-03,0.6309
2005-03-04,3.7618
2005-03-07,2.719
2005-03-08,9.4118
2005-03-09,7.5269
2005-03-10,-1.0
2005-03-11,4.5455
2005-03-14,1.4493
2005-03-15,3.2143
2005-03-16,-4.3829
2005-03-17,2.6538
2005-03-18,1.9976
2005-03-21,-1.2673
2005-03-22,0.8168
2005-03-23,5.5556
2005-03-24,0.8772
2005-03-28,0.3261
2005-03-29,-4.7671
2005-03-30,-3.2992
2005-03-31,3.8824
2005-04-01,0.3398
2005-04-04,2.4831
2005-04-05,0.2203
2005-04-06,-2.5275
2005-04-07,2.593
2005-04-08,-6.8132
2005-04-11,-1.8868
2005-04-12,3.8462
