ticker,BKD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-11-22,33.8421
2005-11-23,-0.5112
2005-11-25,1.3834
2005-11-28,3.1189
2005-11-29,-0.0756
2005-11-30,0.6432
2005-12-01,-0.9398
2005-12-02,1.518
2005-12-05,2.6542
2005-12-06,3.059
2005-12-07,-1.0601
2005-12-08,-1.0714
2005-12-09,2.8881
2005-12-12,2.5614
2005-12-13,-2.1553
2005-12-14,0.5245
2005-12-15,-0.8
2005-12-16,1.7181
2005-12-19,1.6891
2005-12-20,3.2881
2005-12-21,1.7393999999999998
2005-12-22,0.4839
2005-12-23,-0.8026
2005-12-27,-3.2039
2005-12-28,1.1367
2005-12-29,0.1
2005-12-30,-0.7326
2006-01-03,3.2204
2006-01-04,-3.1199
2006-01-05,-1.5096
2006-01-06,0.1703
2006-01-09,3.1282
2006-01-10,1.3848
2006-01-11,2.8293
2006-01-12,0.0949
2006-01-13,1.2322
2006-01-17,-0.1248
2006-01-18,2.5
2006-01-19,5.1829
2006-01-20,-1.3913
2006-01-23,-0.0588
2006-01-24,0.0
2006-01-25,-0.6471
2006-01-26,0.6513
2006-01-27,-0.0294
2006-01-30,-0.0883
2006-01-31,-0.6184
2006-02-01,0.7407
2006-02-02,-1.0294
2006-02-03,-0.5944
2006-02-06,-1.9432
2006-02-07,-3.689
2006-02-08,-1.8993
2006-02-09,1.2907
2006-02-10,0.3186
2006-02-13,0.2223
2006-02-14,1.2357
2006-02-15,-0.4695
2006-02-16,0.1258
2006-02-17,0.0314
2006-02-21,0.4082
2006-02-22,1.7824
2006-02-23,0.4608
2006-02-24,0.1223
2006-02-27,1.3439
2006-02-28,-0.211
2006-03-01,1.1779
2006-03-02,0.3881
2006-03-03,-0.3866
2006-03-06,1.0746
2006-03-07,-1.1223
2006-03-08,-0.1493
2006-03-09,-0.6581
2006-03-10,-0.3312
2006-03-13,-0.6647
2006-03-14,0.2437
2006-03-15,6.3406
2006-03-16,7.3894
2006-03-17,-1.7003
2006-03-20,0.5676
2006-03-21,3.7624
2006-03-22,1.0619
2006-03-23,-0.897
2006-03-24,2.1464
2006-03-27,-2.1519
2006-03-28,-0.1811
2006-03-29,0.2333
2006-03-30,-0.5741
2006-03-31,-0.9186
2006-04-03,-0.053
2006-04-04,2.4119
2006-04-05,-0.3623
2006-04-06,-0.5195
2006-04-07,-1.436
2006-04-10,-0.4768
2006-04-11,-1.3841
2006-04-12,-0.5398
2006-04-13,2.0353
2006-04-17,-0.9574
2006-04-18,0.5639
