ticker,PSTG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-10-07,-5.8235
2015-10-08,-0.4997
2015-10-09,4.2059
2015-10-12,8.7952
2015-10-13,3.4884
2015-10-14,5.618
2015-10-15,-0.304
2015-10-16,-4.2683
2015-10-19,0.8493
2015-10-20,2.6316
2015-10-21,-1.2821
2015-10-22,1.2468
2015-10-23,-1.1288
2015-10-26,-2.1277
2015-10-27,-5.6204
2015-10-28,1.4045
2015-10-29,-1.3296000000000001
2015-10-30,-1.0107
2015-11-02,-3.8003
2015-11-03,2.8302
2015-11-04,-2.2936
2015-11-05,3.5798
2015-11-06,-0.17
2015-11-09,-0.0568
2015-11-10,-1.1925
2015-11-11,-1.6667
2015-11-12,-0.0584
2015-11-13,0.8187
2015-11-16,0.058
2015-11-17,-0.3478
2015-11-18,0.4654
2015-11-19,0.7528
2015-11-20,-15.2874
2015-11-23,-4.2741
2015-11-24,-1.4174
2015-11-25,-5.9669
2015-11-27,-0.9174
2015-11-30,-0.3858
2015-12-01,6.3517
2015-12-02,1.3838
2015-12-03,12.7155
2015-12-04,6.8196
2015-12-07,4.5943000000000005
2015-12-08,0.1141
2015-12-09,0.057
2015-12-10,0.7403
2015-12-11,-0.2261
2015-12-14,-3.1728
2015-12-15,1.0532
2015-12-16,2.5478
2015-12-17,-4.2349
2015-12-18,-0.8844
2015-12-21,-4.7591
2015-12-22,1.1868
2015-12-23,3.8272
2015-12-24,-1.6646999999999998
2015-12-28,0.2418
2015-12-29,-2.4729
2015-12-30,-0.7421
2015-12-31,-2.9907
2016-01-04,-7.8998
2016-01-05,-0.7671
2016-01-06,-0.2108
2016-01-07,-1.0563
2016-01-08,-2.4911
2016-01-11,2.3358
2016-01-12,0.0
2016-01-13,-1.7832
2016-01-14,4.2121
2016-01-15,-2.8571
2016-01-19,1.4346999999999999
2016-01-20,-5.8699
2016-01-21,-0.3005
2016-01-22,3.4665
2016-01-25,1.8937
2016-01-26,-1.9299
2016-01-27,-1.0933
2016-01-28,-3.4635
2016-01-29,-0.687
2016-02-01,-0.0769
2016-02-02,-4.3846
2016-02-03,-0.0805
2016-02-04,5.3945
2016-02-05,-6.6463
2016-02-08,4.5008
2016-02-09,-6.1081
2016-02-10,0.0834
2016-02-11,-3.0
2016-02-12,2.8350999999999997
2016-02-16,5.3467
2016-02-17,3.3307
2016-02-18,-1.6884000000000001
2016-02-19,-0.0781
2016-02-22,-0.9375
2016-02-23,0.8675
2016-02-24,-3.4402
2016-02-25,6.8016
