ticker,XENE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-11-05,16.6667
2014-11-06,14.0
2014-11-07,11.0276
2014-11-10,20.3913
2014-11-11,2.9375
2014-11-12,-18.5792
2014-11-13,0.0746
2014-11-14,-5.3651
2014-11-17,5.9055
2014-11-18,4.0892
2014-11-19,-2.4286
2014-11-20,-3.5871
2014-11-21,-3.9484
2014-11-24,-1.0277
2014-11-25,1.278
2014-11-26,-1.1041
2014-11-28,5.2632
2014-12-01,-7.5
2014-12-02,7.6986
2014-12-03,10.038
2014-12-04,-5.0449
2014-12-05,1.6012
2014-12-08,2.0057
2014-12-09,2.5281000000000002
2014-12-10,10.0685
2014-12-11,6.6584
2014-12-12,-0.5251
2014-12-15,-9.2082
2014-12-16,-0.5814
2014-12-17,-0.8317
2014-12-18,4.9011
2014-12-19,-2.5609
2014-12-22,-2.3077
2014-12-23,0.4593
2014-12-24,1.2063
2014-12-26,10.0054
2014-12-29,16.8084
2014-12-30,-0.6027
2014-12-31,-0.2021
2015-01-02,-5.3165
2015-01-05,2.4064
2015-01-06,-1.6188
2015-01-07,10.9342
2015-01-08,10.0478
2015-01-09,-4.913
2015-01-12,0.2286
2015-01-13,-0.4562
2015-01-14,-0.8708
2015-01-15,1.6181
2015-01-16,-1.5013999999999998
2015-01-20,-16.997700000000002
2015-01-21,1.892
2015-01-22,12.5068
2015-01-23,-1.7476
2015-01-26,-3.9526
2015-01-27,-2.5206
2015-01-28,-3.6939
2015-01-29,-5.5342
2015-01-30,3.1903
2015-02-02,-3.0354
2015-02-03,-8.3478
2015-02-04,-6.0089
2015-02-05,2.5572
2015-02-06,2.1654
2015-02-09,0.578
2015-02-10,2.8097
2015-02-11,-0.3106
2015-02-12,0.9346
2015-02-13,1.0493999999999999
2015-02-17,0.9163
2015-02-18,4.0557
2015-02-19,14.3106
2015-02-20,-1.374
2015-02-23,-0.258
2015-02-24,2.4314999999999998
2015-02-25,-2.6263
2015-02-26,-1.1929
2015-02-27,1.5223
2015-03-02,2.1717
2015-03-03,-6.5789
2015-03-04,1.3001
2015-03-05,4.0107
2015-03-06,-1.1825
2015-03-09,-3.0177
2015-03-10,-4.1309
2015-03-11,-3.1897
2015-03-12,4.9711
2015-03-13,1.0463
2015-03-16,-3.8147
2015-03-17,0.6232
2015-03-18,-2.0833
2015-03-19,7.4756
2015-03-20,-0.5886
2015-03-23,1.4532
2015-03-24,0.2122
2015-03-25,-10.9052
2015-03-26,-1.6637
2015-03-27,1.2085
