ticker,WIX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-11-06,-1.1515
2013-11-07,1.5328
2013-11-08,4.4686
2013-11-11,3.6994
2013-11-12,-2.1739
2013-11-13,-1.5954000000000002
2013-11-14,0.4053
2013-11-15,1.8454000000000002
2013-11-18,6.1155
2013-11-19,-3.3618
2013-11-20,1.6564999999999999
2013-11-21,-0.5975
2013-11-22,-0.7104
2013-11-25,0.7155
2013-11-26,-0.4918
2013-11-27,7.2488
2013-11-29,4.9667
2013-12-02,11.9024
2013-12-03,-3.7925
2013-12-04,-4.7123
2013-12-05,4.2796
2013-12-06,8.9375
2013-12-09,3.1394
2013-12-10,2.2321
2013-12-11,-0.794
2013-12-12,-4.1216
2013-12-13,1.1269
2013-12-16,6.9336
2013-12-17,6.5998
2013-12-18,1.0862
2013-12-19,-3.7607
2013-12-20,4.0566
2013-12-23,-0.7868
2013-12-24,0.2884
2013-12-26,2.4083
2013-12-27,-1.1583
2013-12-30,-1.3849
2013-12-31,-3.3129
2014-01-02,-3.9851
2014-01-03,-2.9092000000000002
2014-01-06,-2.3971
2014-01-07,-1.5554999999999999
2014-01-08,1.0395
2014-01-09,7.2428
2014-01-10,1.4965
2014-01-13,1.6635
2014-01-14,1.8594
2014-01-15,0.146
2014-01-16,0.5468
2014-01-17,3.1545
2014-01-21,1.4060000000000001
2014-01-22,2.253
2014-01-23,1.9322
2014-01-24,-5.7865
2014-01-27,-4.377
2014-01-28,1.698
2014-01-29,-2.0327
2014-01-30,3.4087
2014-01-31,2.6872
2014-02-03,-5.7572
2014-02-04,-2.9248
2014-02-05,-3.5469
2014-02-06,1.1467
2014-02-07,10.0078
2014-02-10,1.3149
2014-02-11,4.4195
2014-02-12,0.1344
2014-02-13,-1.2076
2014-02-14,-1.3921999999999999
2014-02-18,-2.6170999999999998
2014-02-19,-1.2023
2014-02-20,3.7223
2014-02-21,1.2767
2014-02-24,-0.7836
2014-02-25,7.2459
2014-02-26,-0.064
2014-02-27,0.3525
2014-02-28,-1.341
2014-03-03,-3.2686
2014-03-04,1.5055
2014-03-05,-3.6915
2014-03-06,1.4716
2014-03-07,-5.0253
2014-03-10,-4.5809999999999995
2014-03-11,-1.1909
2014-03-12,3.0132
2014-03-13,-3.6563
2014-03-14,0.1898
2014-03-17,1.4394
2014-03-18,0.0747
2014-03-19,-0.6343
2014-03-20,-0.2629
2014-03-21,-3.3133
2014-03-24,-9.6184
2014-03-25,1.2495
2014-03-26,-4.6383
2014-03-27,-9.8617
