ticker,GSPE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-04-25,10.0
2008-03-20,13.6364
2009-03-06,60.0
2010-03-17,-25.0
2011-03-08,266.6667
2011-03-25,-31.8182
2011-04-29,-26.6667
2011-06-29,101.8182
2011-06-30,-9.9099
2011-07-11,-15.0
2011-10-10,23.5294
2011-10-11,-23.8095
2011-10-25,-6.25
2011-12-14,-20.0
2012-06-19,-33.3333
2012-10-22,0.0
2012-11-19,-25.0
2012-11-20,36.6667
2012-11-21,-2.439
2013-01-03,-50.0
2013-01-08,75.0
2013-01-09,14.2857
2013-02-25,-27.5
2013-03-12,0.0
2013-03-13,37.931
2013-03-18,-2.5
2013-04-08,0.0
2013-04-09,2.5641
2013-04-17,12.5
2013-04-18,13.3333
2013-04-26,7.8431
2013-07-30,0.0
2013-08-01,-18.1818
2013-08-02,0.0
2013-08-08,33.3333
2013-08-13,-25.0
2013-08-14,0.0
2013-08-15,22.2222
2013-08-19,0.0
2013-08-29,-1.8182
2013-09-09,5.5556
2013-09-16,-26.3158
2013-09-27,30.9524
2013-09-30,20.0
2013-10-01,13.6364
2013-10-03,13.3333
2013-10-04,17.647100000000002
2013-10-07,10.0
2013-10-08,-7.2727
2013-10-09,-1.9607999999999999
2013-10-10,1.0
2013-10-11,0.0
2013-10-14,0.0
2013-10-15,8.9109
2013-10-16,-6.3636
2013-10-18,16.5049
2013-10-21,-16.6667
2013-10-23,0.0
2013-10-25,35.0
2013-10-28,11.1111
2013-10-29,-5.3333
2013-10-31,-1.4085
2013-11-01,0.0
2013-11-06,-7.1429
2013-11-13,0.0
2013-11-14,-7.6923
2013-11-20,25.0
2013-12-03,-16.6667
2013-12-10,20.0
2013-12-11,-13.3333
2013-12-13,-3.8462
2013-12-18,-4.0
2013-12-20,0.0
2013-12-26,-2.5
2013-12-30,5.9829
2014-01-03,-3.2258
2014-01-06,0.0
2014-01-07,0.0
2014-01-10,-16.6667
2014-01-13,25.0
2014-01-14,18.4
2014-01-16,-12.1622
2014-01-17,0.0
2014-01-21,3.8462
2014-01-22,0.0
2014-01-24,-11.1111
2014-01-27,4.1667
2014-01-28,0.0
2014-01-29,0.0
2014-01-31,0.0
2014-02-03,-10.4
2014-02-04,3.5714
2014-02-10,0.0
2014-02-26,-13.7931
2014-03-07,0.0
2014-03-10,20.0
2014-03-11,-8.3333
2014-03-14,0.0
2014-03-17,0.0
2014-03-18,4.5455
2014-03-19,26.087
2014-03-20,-1.3793
2014-03-21,-3.4965
