ticker,BOTY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-06-03,0.3636
2009-06-04,-0.3623
2009-06-05,0.3636
2009-06-12,1.4493
2009-07-15,2.8571
2009-08-07,-1.0417
2009-08-18,0.0
2009-08-20,31.5789
2009-08-27,0.0
2009-09-02,0.0
2009-09-04,4.0
2009-09-08,0.7692
2009-09-09,1.5267
2009-09-10,3.0075
2009-09-11,1.4599
2009-09-14,2.8777
2009-09-15,2.0979
2009-09-16,8.9041
2009-09-17,7.5472
2009-09-18,-9.9415
2009-09-21,-12.987
2009-09-22,1.4925
2009-09-23,-0.7353
2009-09-24,-13.3333
2009-09-25,-3.4188
2009-09-28,-2.6549
2009-09-29,7.2727
2009-09-30,-11.0169
2009-10-01,1.9048
2009-10-02,-2.8037
2009-10-05,10.5769
2009-10-06,-6.087
2009-10-07,-3.7037
2009-10-08,12.5
2009-10-09,-10.2564
2009-10-12,0.9524
2009-10-13,-0.9434
2009-10-14,7.619
2009-10-15,-6.1947
2009-10-16,1.8868
2009-10-19,-2.7778
2009-10-20,6.6667
2009-10-21,-15.1786
2009-10-22,20.0
2009-10-23,2.6316
2009-10-26,-5.9829
2009-10-27,-6.3636
2009-10-28,1.9417
2009-10-29,2.8571
2009-10-30,-7.4074
2009-11-02,5.0
2009-11-03,0.9524
2009-11-04,-0.9434
2009-11-05,-8.5238
2009-11-06,18.6882
2009-11-09,-1.7544
2009-11-10,4.4643
2009-11-11,-0.8547
2009-11-12,-5.1724
2009-11-13,-1.8182
2009-11-16,-5.5556
2009-11-17,-1.9607999999999999
2009-11-18,-2.0
2009-11-19,-2.7742
2009-11-20,10.2001
2009-11-23,-1.9048
2009-11-24,-1.9417
2009-11-25,4.9505
2009-11-27,0.8314
2009-11-30,19.7591
2009-12-01,10.9375
2009-12-02,7.0423
2009-12-03,-7.8947
2009-12-04,0.0
2009-12-07,4.2857
2009-12-08,8.9041
2009-12-09,15.7233
2009-12-10,2.1739
2009-12-11,-9.5745
2009-12-14,0.0
2009-12-15,-8.8235
2009-12-16,12.9032
2009-12-17,-14.2857
2009-12-18,12.6667
2009-12-21,-1.7751000000000001
2009-12-22,-0.6024
2009-12-23,6.0606
2009-12-24,0.0
2009-12-28,-0.5714
2009-12-29,-5.1724
2009-12-30,7.2727
2009-12-31,1.1299
2010-01-04,-3.352
2010-01-05,9.2486
2010-01-06,7.4074
2010-01-07,1.4778
2010-01-08,-5.3398
2010-01-11,-10.2564
2010-01-12,0.0
2010-01-13,2.8571
