ticker,DLNG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-11-13,0.0
2013-11-14,0.0556
2013-11-15,0.0555
2013-11-18,0.1665
2013-11-19,0.0
2013-11-20,1.108
2013-11-21,0.5479
2013-11-22,-0.5995
2013-11-25,-0.4386
2013-11-26,0.4956
2013-11-27,1.9178
2013-11-29,0.8065
2013-12-02,0.8
2013-12-03,2.6455
2013-12-04,-0.8782
2013-12-05,-0.9341
2013-12-06,2.1522
2013-12-09,1.6958
2013-12-10,-1.617
2013-12-11,-1.3354
2013-12-12,0.6247
2013-12-13,1.3968
2013-12-16,-0.4082
2013-12-17,1.9466999999999999
2013-12-18,0.9548
2013-12-19,1.7422
2013-12-20,3.0333
2013-12-23,2.8965
2013-12-24,0.7845
2013-12-26,3.0678
2013-12-27,0.7108
2013-12-30,-0.1764
2013-12-31,-0.3535
2014-01-02,-3.1486
2014-01-03,0.1832
2014-01-06,-0.2285
2014-01-07,-2.9776
2014-01-08,0.0472
2014-01-09,-1.0382
2014-01-10,0.1907
2014-01-13,5.7592
2014-01-14,-0.9451
2014-01-15,-2.2717
2014-01-16,2.6499
2014-01-17,-0.3623
2014-01-21,-0.7273
2014-01-22,-0.9615
2014-01-23,0.9709
2014-01-24,-0.5037
2014-01-27,-0.5062
2014-01-28,-0.9713
2014-01-29,-1.1677
2014-01-30,1.3233
2014-01-31,-0.2799
2014-02-03,-1.029
2014-02-04,-0.0473
2014-02-05,0.4728
2014-02-06,2.4687
2014-02-07,-0.8333
2014-02-10,2.2876
2014-02-11,-2.4646
2014-02-12,0.5615
2014-02-13,-1.1633
2014-02-14,1.177
2014-02-18,-2.5593
2014-02-19,4.3457
2014-02-20,-2.0137
2014-02-21,0.6539
2014-02-24,3.6195
2014-02-25,-1.2987
2014-02-26,0.1361
2014-02-27,-0.4531
2014-02-28,-0.7283
2014-03-03,0.4127
2014-03-04,0.7763
2014-03-05,0.068
2014-03-06,-0.0679
2014-03-07,0.725
2014-03-10,-0.2249
2014-03-11,-0.2254
2014-03-12,0.5423
2014-03-13,-2.9213
2014-03-14,0.2778
2014-03-17,3.0009
2014-03-18,-2.1515
2014-03-19,0.7787
2014-03-20,-2.7727
2014-03-21,1.7298
2014-03-24,-0.6434
2014-03-25,-0.185
2014-03-26,1.0658
2014-03-27,1.2838
2014-03-28,-1.9013
2014-03-31,0.0
2014-04-01,-0.8306
2014-04-02,2.3731999999999998
2014-04-03,-0.4545
2014-04-04,1.2557
2014-04-07,-2.9087
