ticker,EPTI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-01-20,0.0
2017-01-23,7.6923
2017-01-24,2.6786
2017-01-31,30.4348
2017-02-14,0.0
2017-02-16,189.4387
2017-02-28,0.0
2017-03-02,-3.9
2017-03-03,-35.4839
2017-03-08,45.1613
2017-03-14,10.4444
2017-03-16,0.6036
2017-03-21,0.0
2017-03-22,0.0
2017-03-23,1.0
2017-03-27,0.0
2017-03-28,0.0
2017-03-29,0.0
2017-03-31,1.9802
2017-04-12,-0.9709
2017-04-18,-7.6471
2017-04-19,-1.2739
2017-04-20,0.0
2017-05-01,0.0
2017-05-03,2.1505
2017-05-17,6.3158
2017-05-22,3.9604
2017-05-30,-0.2202
2017-05-31,1.1752
2017-06-01,-0.6486
2017-06-02,-0.2967
2017-06-08,2.8571
2017-06-09,4.6296
2017-06-12,12.3894
2017-06-13,-5.5118
2017-06-14,5.8333
2017-06-15,-17.3228
2017-06-16,-8.0952
2017-06-19,17.0984
2017-06-20,15.0442
2017-06-21,26.9231
2017-06-22,12.7273
2017-06-23,-16.129
2017-06-26,23.0769
2017-06-27,13.5417
2017-07-13,-44.4954
2017-07-14,0.8264
2017-07-17,30.3279
2017-07-18,6.9182
2017-07-19,11.7647
2017-07-20,-7.8947
2017-07-21,2.8571
2017-07-24,0.0
2017-07-25,2.7778
2017-07-26,-5.4054
2017-07-27,5.7143
2017-07-28,-10.8108
2017-07-31,15.1515
2017-08-01,-3.1579
2017-08-02,-0.5435
2017-08-03,-2.1858
2017-08-04,0.5587
2017-08-07,-33.3333
2017-08-08,1.6667
2017-08-09,6.5574
2017-08-10,0.0
2017-08-14,-3.8462
2017-08-15,0.0
2017-08-16,-4.0
2017-08-17,-16.6667
2017-08-18,0.0
2017-08-21,25.0
2017-08-22,-0.8
2017-08-23,0.8065
2017-08-25,-20.0
2017-08-28,0.0
2017-08-29,-25.0
2017-08-30,30.6667
2017-08-31,2.0408
2017-09-01,0.0
2017-09-05,0.0
2017-09-08,5.0
2017-09-12,-21.9048
2017-09-13,-8.5366
2017-09-14,0.0
2017-09-15,0.0
2017-09-18,0.0
2017-09-20,33.3333
2017-09-21,-40.0
2017-09-22,100.0
2017-09-25,-44.1667
2017-09-28,19.403
2017-10-02,6.25
2017-10-04,-35.2941
2017-10-05,20.0
2017-10-09,0.0
2017-10-10,36.3636
2017-10-11,-11.1111
2017-10-12,21.25
2017-10-13,3.0928
2017-10-16,-20.0
2017-10-17,25.0
2017-10-18,-5.0
