ticker,OPGN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-05-06,-4.1237
2015-05-07,0.0
2015-05-08,-5.3763
2015-05-11,-5.6818
2015-05-12,-4.8193
2015-05-13,-1.0127
2015-05-14,-0.2558
2015-05-15,2.3077
2015-05-18,-0.7519
2015-05-19,-3.2828
2015-05-20,-9.9217
2015-05-21,-2.6087
2015-05-22,1.1905000000000001
2015-05-26,7.3529
2015-05-27,-3.2877
2015-05-28,10.4816
2015-05-29,2.3077
2015-06-01,3.2580999999999998
2015-06-02,6.7961
2015-06-03,5.2273
2015-06-04,2.5918
2015-06-05,-0.4211
2015-06-08,-4.6512
2015-06-09,-3.7694
2015-06-10,-2.9954
2015-06-11,4.5131
2015-06-12,-2.9545
2015-06-15,6.5574
2015-06-16,0.2198
2015-06-17,-1.9737
2015-06-18,-7.83
2015-06-19,-6.068
2015-06-22,0.2584
2015-06-23,0.5155
2015-06-24,3.2051
2015-06-25,0.0
2015-06-26,-3.8509
2015-06-29,-5.4264
2015-06-30,1.6393
2015-07-01,-1.8733
2015-07-02,1.9091
2015-07-06,-2.6882
2015-07-07,-7.4586
2015-07-08,-2.3881
2015-07-09,2.4465
2015-07-10,2.3881
2015-07-13,10.4956
2015-07-14,6.5963
2015-07-15,1.4851
2015-07-16,-0.4878
2015-07-17,1.6759
2015-07-20,6.7888
2015-07-21,-10.6095
2015-07-22,5.8049
2015-07-23,-5.0001
2015-07-24,-7.7976
2015-07-27,-1.9074
2015-07-28,-1.6667
2015-07-29,-1.4123999999999999
2015-07-30,-2.8653
2015-07-31,-1.7699
2015-08-03,-7.7778
2015-08-04,2.5725
2015-08-05,2.2222
2015-08-06,-4.0373
2015-08-07,-0.3236
2015-08-10,-1.6234
2015-08-11,-5.9406
2015-08-12,-10.526299999999999
2015-08-13,6.6667
2015-08-14,-8.4559
2015-08-17,2.4096
2015-08-18,4.7059
2015-08-19,-1.4981
2015-08-20,-1.9011
2015-08-21,-1.938
2015-08-24,-6.3241
2015-08-25,11.8143
2015-08-26,-6.0377
2015-08-27,-2.008
2015-08-28,6.0195
2015-08-31,2.9741
2015-09-01,-11.4052
2015-09-02,4.661
2015-09-03,0.8097
2015-09-04,-9.6386
2015-09-08,2.2222
2015-09-09,-0.4348
2015-09-10,7.4236
2015-09-11,-6.5041
2015-09-14,0.0
2015-09-15,5.2174
2015-09-16,-4.5455
2015-09-17,6.4935
2015-09-18,49.5935
2015-09-21,-21.4674
2015-09-22,6.9204
2015-09-23,-0.3236
