ticker,AMPY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-10-25,-9.4923
2016-10-26,-1.0244
2016-10-27,-3.8935
2016-10-28,-0.7692
2016-10-31,-3.1008
2016-11-01,1.6
2016-11-02,-0.2625
2016-11-03,0.5263
2016-11-04,0.2618
2016-11-07,0.5222
2016-11-08,-1.7662
2016-11-09,3.3845
2016-11-10,-1.3171
2016-11-11,-1.5161
2016-11-14,-3.6842
2016-11-15,-0.6011
2016-11-16,-1.1177
2016-11-17,-2.0943
2016-11-18,3.0664
2016-11-21,3.5806
2016-11-22,2.3943
2016-11-23,4.6753
2016-11-25,1.0422
2016-11-28,-0.5894
2016-11-29,-1.2846
2016-11-30,0.8509
2016-12-01,0.4963
2016-12-02,3.4074
2016-12-05,0.2388
2016-12-06,-0.0953
2016-12-07,-0.0954
2016-12-08,-2.148
2016-12-09,2.439
2016-12-12,-1.4285999999999999
2016-12-13,-1.9807000000000001
2016-12-14,0.2957
2016-12-15,-2.9484
2016-12-16,-4.1519
2016-12-19,2.4828
2016-12-20,2.4227
2016-12-21,0.0
2016-12-22,0.6543
2016-12-23,2.0
2016-12-27,-0.5392
2016-12-28,0.7886
2016-12-29,2.7873
2016-12-30,-1.3321
2017-01-03,1.2536
2017-01-04,-0.0476
2017-01-05,1.2387
2017-01-06,-0.2824
2017-01-09,-0.236
2017-01-10,-0.6623
2017-01-11,1.619
2017-01-12,-0.1874
2017-01-13,0.0
2017-01-17,0.4225
2017-01-18,-0.6545
2017-01-19,-0.3294
2017-01-20,0.7554
2017-01-23,-1.359
2017-01-24,0.6651
2017-01-25,0.236
2017-01-26,-2.307
2017-01-27,0.7229
2017-01-30,-1.6745999999999999
2017-01-31,-1.8491
2017-02-01,1.5865
2017-02-02,0.0488
2017-02-03,0.0
2017-02-06,-1.9512
2017-02-07,0.7463
2017-02-08,-1.7778
2017-02-09,0.553
2017-02-10,0.0
2017-02-13,-0.1
2017-02-14,2.2022
2017-02-15,3.8198
2017-02-16,-0.3302
2017-02-17,0.3786
2017-02-21,0.1414
2017-02-22,-2.4011
2017-02-23,-1.5918999999999999
2017-02-24,-0.2451
2017-02-27,-1.8673
2017-02-28,-0.2003
2017-03-01,0.3512
2017-03-02,-0.4
2017-03-03,0.1506
2017-03-06,-0.2506
2017-03-07,0.1005
2017-03-08,-0.251
2017-03-09,-3.1203
2017-03-10,-0.0519
2017-03-13,-0.8836
2017-03-14,-3.5658
2017-03-15,-0.6525
2017-03-16,2.2441
