ticker,MIK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-06-27,0.1176
2014-06-30,0.1763
2014-07-01,-1.173
2014-07-02,-0.5341
2014-07-03,1.611
2014-07-07,-0.7046
2014-07-08,0.0
2014-07-09,-0.0591
2014-07-10,-1.0651
2014-07-11,-0.7177
2014-07-14,-1.3253
2014-07-15,0.1221
2014-07-16,-0.5488
2014-07-17,0.8584
2014-07-18,-0.6079
2014-07-21,2.0183
2014-07-22,0.0
2014-07-23,0.1199
2014-07-24,0.5389
2014-07-25,-0.3574
2014-07-28,-4.3634
2014-07-29,-1.4375
2014-07-30,-4.1218
2014-07-31,-0.2646
2014-08-01,1.7241
2014-08-04,-0.3259
2014-08-05,2.5507
2014-08-06,-5.4209
2014-08-07,0.8092
2014-08-08,-0.2676
2014-08-11,0.2683
2014-08-12,1.4047
2014-08-13,-1.2533
2014-08-14,-1.2024
2014-08-15,0.6761
2014-08-18,-0.8059
2014-08-19,0.8802
2014-08-20,3.4228
2014-08-21,0.584
2014-08-22,-0.9032
2014-08-25,1.6926999999999999
2014-08-26,-3.073
2014-08-27,9.247
2014-08-28,2.1765
2014-08-29,0.4734
2014-09-02,1.2367
2014-09-03,0.2327
2014-09-04,0.6965
2014-09-05,-1.0375
2014-09-08,1.8637000000000001
2014-09-09,0.8576
2014-09-10,-0.7937
2014-09-11,2.9714
2014-09-12,-0.9434
2014-09-15,0.8964
2014-09-16,-0.5552
2014-09-17,-0.3908
2014-09-18,-2.4664
2014-09-19,-0.6322
2014-09-22,-1.8508
2014-09-23,1.4143
2014-09-24,1.5107
2014-09-25,-0.0572
2014-09-26,-0.1145
2014-09-29,0.5161
2014-09-30,-0.2852
2014-10-01,0.0572
2014-10-02,-0.4002
2014-10-03,2.124
2014-10-06,-0.787
2014-10-07,-1.2465
2014-10-08,0.5737
2014-10-09,-1.4261
2014-10-10,0.4051
2014-10-13,0.3458
2014-10-14,-0.4595
2014-10-15,-0.9233
2014-10-16,1.5725
2014-10-17,1.6055000000000001
2014-10-20,0.7336
2014-10-21,2.6330999999999998
2014-10-22,0.0546
2014-10-23,-0.4364
2014-10-24,0.2192
2014-10-27,-0.7108
2014-10-28,-0.9361
2014-10-29,-0.667
2014-10-30,-0.2798
2014-10-31,2.5814
2014-11-03,-0.7112
2014-11-04,-1.0468
2014-11-05,0.7795
2014-11-06,3.2044
2014-11-07,0.5353
2014-11-10,-0.9052
2014-11-11,6.1795
2014-11-12,1.5182
2014-11-13,2.1934
