ticker,RUN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-08-05,-23.0714
2015-08-06,-18.5701
2015-08-07,15.6214
2015-08-10,-0.1972
2015-08-11,-3.2609
2015-08-12,5.7201
2015-08-13,-2.2222
2015-08-14,-0.7905
2015-08-17,0.8964
2015-08-18,1.0859
2015-08-19,4.7852
2015-08-20,-1.9571
2015-08-21,-5.8934999999999995
2015-08-24,-7.4747
2015-08-25,8.0786
2015-08-26,8.8889
2015-08-27,2.0408
2015-08-28,5.6364
2015-08-31,2.2375
2015-09-01,-0.1684
2015-09-02,-2.2766
2015-09-03,0.4314
2015-09-04,-0.6873
2015-09-08,-0.0865
2015-09-09,-1.3853
2015-09-10,2.6339
2015-09-11,-1.6253
2015-09-14,-2.1739
2015-09-15,2.1333
2015-09-16,-1.5666
2015-09-17,0.7958
2015-09-18,1.5789
2015-09-21,1.3817
2015-09-22,-2.9813
2015-09-23,-3.3363
2015-09-24,-1.8165
2015-09-25,2.9602
2015-09-28,-9.6137
2015-09-29,-2.4851
2015-09-30,5.7085
2015-10-01,-0.675
2015-10-02,2.0388
2015-10-05,1.4272
2015-10-06,3.6585
2015-10-07,1.267
2015-10-08,1.7873
2015-10-09,-1.1414
2015-10-12,-4.2629
2015-10-13,-0.8349
2015-10-14,0.4677
2015-10-15,-1.3035
2015-10-16,-2.4528
2015-10-19,-5.1257
2015-10-20,-3.16
2015-10-21,-5.8947
2015-10-22,-0.4474
2015-10-23,2.0225
2015-10-26,1.4317
2015-10-27,-1.8458
2015-10-28,4.2035
2015-10-29,-5.414
2015-10-30,-16.835
2015-11-02,-0.6748
2015-11-03,2.1739
2015-11-04,2.5266
2015-11-05,4.6693
2015-11-06,-3.0979
2015-11-09,-1.1509
2015-11-10,-5.9508
2015-11-11,-3.8514
2015-11-12,-5.8655
2015-11-13,11.0942
2015-11-16,-4.2408
2015-11-17,-4.0
2015-11-18,-2.5298
2015-11-19,-0.7634
2015-11-20,2.6154
2015-11-23,-1.0495
2015-11-24,2.1212
2015-11-25,0.1484
2015-11-27,6.963
2015-11-30,-7.8947
2015-12-01,6.015
2015-12-02,4.8227
2015-12-03,7.5778
2015-12-04,-1.2579
2015-12-07,0.7643
2015-12-08,-1.7699
2015-12-09,-0.7722
2015-12-10,-1.8157999999999999
2015-12-11,3.8308999999999997
2015-12-14,15.7761
2015-12-15,4.2857
2015-12-16,22.5501
2015-12-17,9.2863
2015-12-18,8.1039
2015-12-21,-2.4745
2015-12-22,-13.4328
