ticker,BMIX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-03-04,5.0
2013-03-06,4.7619
2013-03-07,0.0
2013-03-13,0.0
2013-03-14,0.0
2013-03-18,-9.0909
2013-03-21,-39.8
2013-03-22,9.6346
2013-03-25,4.5455
2013-03-26,4.3478
2013-03-28,-13.8889
2013-04-01,-12.9032
2013-04-02,7.4074
2013-04-03,3.4483
2013-04-04,-1.6667
2013-04-05,0.0
2013-04-08,1.6949
2013-04-09,0.0
2013-04-10,-3.1667
2013-04-12,0.8606
2013-04-15,2.3891
2013-04-16,-5.0
2013-04-17,5.2632
2013-04-22,-1.6667
2013-04-23,-3.3898
2013-04-24,-8.7719
2013-04-25,15.3846
2013-04-29,-3.3333
2013-05-01,3.4483
2013-05-02,-1.6667
2013-05-03,7.6271
2013-05-06,-3.9370000000000003
2013-05-07,-3.2787
2013-05-08,-2.5423999999999998
2013-05-09,0.8696
2013-05-10,10.3448
2013-05-13,4.6875
2013-05-14,1.4925
2013-05-15,13.0882
2013-05-16,13.1339
2013-05-17,-22.9885
2013-05-20,-10.4478
2013-05-21,10.8333
2013-05-22,-0.7519
2013-05-23,-11.5909
2013-05-24,-5.7412
2013-05-28,0.0
2013-05-29,3.2727
2013-05-30,4.3134
2013-05-31,2.5316
2013-06-03,-2.2222
2013-06-04,-8.2492
2013-06-05,-12.844
2013-06-06,-7.3684
2013-06-07,-12.5
2013-06-10,-24.6753
2013-06-11,-30.3448
2013-06-12,33.6634
2013-06-13,5.5556
2013-06-14,-12.2807
2013-06-17,-17.6
2013-06-18,-0.4854
2013-06-19,-9.7561
2013-06-20,-18.6486
2013-06-21,6.3123000000000005
2013-06-24,-15.625
2013-06-25,-10.9722
2013-06-26,6.5003
2013-06-27,-6.1035
2013-06-28,-6.8123000000000005
2013-07-01,11.607099999999999
2013-07-02,-9.45
2013-07-03,6.0188
2013-07-05,28.3333
2013-07-08,3.8961
2013-07-09,29.375
2013-07-10,23.1884
2013-07-11,-27.451
2013-07-12,-3.7838000000000003
2013-07-15,-4.1433
2013-07-16,-0.3663
2013-07-17,-3.5294
2013-07-18,-5.3735
2013-07-19,-1.7318
2013-07-22,4.918
2013-07-23,-12.5
2013-07-24,-3.5714
2013-07-25,0.0
2013-07-26,-1.25
2013-07-29,-5.4852
2013-07-30,0.7937
2013-07-31,2.3622
2013-08-01,-1.1538
2013-08-02,-2.7237
2013-08-05,-4.0
2013-08-06,12.5
2013-08-07,-2.2222
2013-08-08,-2.1307
