ticker,IPUB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-01-28,0.0
2008-02-06,50.0
2008-02-07,0.0
2008-02-26,-10.0
2008-04-08,3.7037
2008-04-10,0.0
2008-04-29,-14.2857
2008-05-16,16.6667
2008-05-19,-14.2857
2008-05-20,-8.3333
2008-06-27,13.6364
2008-06-30,16.0
2008-07-16,14.4828
2008-07-17,6.0241
2008-07-18,5.1136
2008-07-21,8.1081
2008-07-24,-2.5
2008-07-28,-10.2564
2008-07-30,0.0
2008-07-31,28.5714
2008-08-05,-22.2222
2008-08-08,0.0
2008-08-14,0.0
2008-08-25,14.2857
2008-08-28,12.5
2008-08-29,11.1111
2008-09-15,-40.0
2008-09-24,13.3333
2008-09-26,0.0
2008-10-06,-11.7647
2008-10-28,-26.6667
2008-10-31,36.3636
2008-12-12,-83.3333
2008-12-15,100.0
2008-12-16,50.0
2008-12-19,0.0
2008-12-22,0.0
2008-12-26,-46.6667
2008-12-31,87.5
2009-01-12,-60.0
2009-01-28,83.3333
2009-01-30,18.1818
2009-02-06,7.6923
2009-02-09,-35.7143
2009-02-10,0.0
2009-02-25,66.6667
2009-02-27,13.3333
2009-03-25,-43.5294
2009-03-30,77.0833
2009-04-06,29.4118
2009-08-13,-31.8182
2010-02-05,-86.5333
2010-02-19,-60.396
2010-02-22,525.0
2010-02-23,0.0
2010-02-24,-84.0
2010-02-25,-25.0
2010-03-01,0.0
2010-03-05,0.0
2010-03-12,0.0
2010-03-16,-33.3333
2010-03-17,25.0
2010-03-18,-20.0
2010-03-19,-50.0
2010-03-22,430.0
2010-03-23,-5.6604
2010-03-25,-40.0
2010-03-29,-60.0
2010-03-30,8.3333
2010-04-15,0.9615
2010-04-21,0.0
2010-04-30,0.0
2010-05-03,2.8571
2010-05-04,-2.7778
2010-05-07,14.2857
2010-06-02,-11.1111
2010-07-07,-35.625
2010-07-08,3.4951
2010-07-09,-2.6266
2010-07-12,0.9634
2010-07-13,4.9618
2010-07-14,4.5455
2010-07-15,-1.7391
2010-07-16,0.708
2010-07-19,-0.703
2010-07-20,2.4779
2010-07-21,-4.1451
2010-07-22,1.8018
2010-07-23,0.0
2010-07-26,-0.885
2010-07-27,1.6049
2010-07-28,-3.3371
2010-07-29,0.9091
2010-07-30,0.0
2010-08-02,-1.4414
2010-08-03,0.5484
2010-08-04,0.0
2010-08-05,-3.4545
2010-08-06,-0.1883
2010-08-09,5.4717
2010-08-10,-3.3989
2010-08-11,0.0
2010-08-12,0.0
