ticker,LIFE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-05-07,6.7857
2015-05-08,28.8963
2015-05-11,7.6803
2015-05-12,3.9518
2015-05-13,-9.1794
2015-05-14,5.0536
2015-05-15,-2.1866
2015-05-18,-1.1426
2015-05-19,1.005
2015-05-20,13.8308
2015-05-21,4.8951
2015-05-22,2.9583
2015-05-26,2.5496
2015-05-27,-2.5651
2015-05-28,-2.8757
2015-05-29,-4.5455
2015-06-01,2.5775
2015-06-02,7.4957
2015-06-03,10.4596
2015-06-04,-1.9727000000000001
2015-06-05,-5.3421
2015-06-08,-3.6336
2015-06-09,-11.1913
2015-06-10,1.8067
2015-06-11,-3.9042
2015-06-12,2.6316
2015-06-15,1.8893
2015-06-16,-3.0905
2015-06-17,2.1412
2015-06-18,-1.4719
2015-06-19,-1.2223
2015-06-22,4.7204
2015-06-23,-3.9825
2015-06-24,-0.0456
2015-06-25,-10.6247
2015-06-26,0.3061
2015-06-29,-4.12
2015-06-30,-1.7507000000000001
2015-07-01,-8.2073
2015-07-02,-3.0
2015-07-06,-1.5161
2015-07-07,-0.4926
2015-07-08,-7.4257
2015-07-09,2.4733
2015-07-10,19.7652
2015-07-13,5.9368
2015-07-14,-7.6607
2015-07-15,-2.6169000000000002
2015-07-16,2.1727
2015-07-17,-4.9804
2015-07-20,-5.8304
2015-07-21,-1.1882
2015-07-22,5.6962
2015-07-23,-0.1796
2015-07-24,6.2388
2015-07-27,-1.0728
2015-07-28,7.9338
2015-07-29,-6.716
2015-07-30,2.8345000000000002
2015-07-31,3.3627000000000002
2015-08-03,3.9467
2015-08-04,2.001
2015-08-05,4.8793
2015-08-06,-10.0719
2015-08-07,-1.2267000000000001
2015-08-10,-2.1058
2015-08-11,-5.9018
2015-08-12,-0.1758
2015-08-13,-13.3294
2015-08-14,-2.9133
2015-08-17,12.3517
2015-08-18,-6.1491
2015-08-19,-3.2429
2015-08-20,-0.8892
2015-08-21,-3.1056
2015-08-24,-2.2792
2015-08-25,0.0729
2015-08-26,4.1515
2015-08-27,8.7413
2015-08-28,-4.8875
2015-08-31,-2.096
2015-09-01,-2.7624
2015-09-02,3.054
2015-09-03,1.5851
2015-09-04,-2.2388
2015-09-08,9.0215
2015-09-09,-1.7823
2015-09-10,19.4426
2015-09-11,-7.9761
2015-09-14,10.4363
2015-09-15,2.456
2015-09-16,-2.1365
2015-09-17,-1.4909
2015-09-18,-3.4054
2015-09-21,-7.3867
2015-09-22,-6.0423
2015-09-23,-1.4148
