ticker,SLGX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-06-01,-66.1017
2009-08-05,0.0
2010-03-08,50.0
2010-03-17,100.0
2010-03-18,0.0
2010-03-23,50.0
2010-03-24,0.0
2010-03-26,42.2222
2010-03-30,32.8125
2010-03-31,23.5294
2010-04-16,14.2857
2010-04-23,-11.6667
2010-04-29,8.4906
2010-05-05,8.6957
2010-05-07,11.2
2010-05-10,7.1942
2010-05-13,-2.6846
2010-05-14,2.069
2010-05-18,3.3784
2010-05-19,1.3072
2010-05-20,1.2903
2010-05-21,-1.9108
2010-05-24,-4.5455
2010-05-25,2.0408
2010-05-26,3.3333
2010-05-27,-0.6452
2010-05-28,3.2468
2010-06-01,6.9182
2010-06-02,-0.5882
2010-06-03,-2.3669000000000002
2010-06-04,0.0
2010-06-07,-0.6061
2010-06-08,-6.7073
2010-06-09,-1.9607999999999999
2010-06-10,0.0
2010-06-11,0.6667
2010-06-14,1.3245
2010-06-15,1.3072
2010-06-16,-1.2903
2010-06-17,-1.9607999999999999
2010-06-18,5.3333
2010-06-21,-4.4304
2010-06-22,-0.6623
2010-06-23,0.0
2010-06-24,-2.6667
2010-06-25,4.1096
2010-06-28,-1.3158
2010-06-29,4.6667
2010-06-30,-4.4586
2010-07-01,4.6667
2010-07-02,-1.2739
2010-07-06,-3.2258
2010-07-08,-3.3333
2010-07-09,0.0
2010-07-12,-2.069
2010-07-14,-8.4507
2010-07-15,3.0769
2010-07-16,2.9851
2010-07-19,1.4493
2010-07-20,5.7143
2010-07-21,0.6757
2010-07-22,-2.6846
2010-07-23,0.0
2010-07-26,4.8276
2010-07-28,-17.7632
2010-07-29,16.0
2010-07-30,-10.3448
2010-08-02,10.0
2010-08-03,-9.0909
2010-08-04,3.8462
2010-08-05,2.2222
2010-08-06,1.4493
2010-08-09,-5.0
2010-08-10,-4.5113
2010-08-11,-3.1496
2010-08-12,-2.439
2010-08-13,-3.3333
2010-08-16,-3.4483
2010-08-17,-19.6429
2010-08-18,-11.1111
2010-08-19,-16.25
2010-08-20,19.403
2010-08-23,-15.0
2010-08-25,2.9412000000000003
2010-08-26,-4.2857
2010-08-27,11.9403
2010-08-30,13.3333
2010-08-31,-4.7059
2010-09-01,-1.2346
2010-09-03,0.0
2010-09-07,1.25
2010-09-08,0.0
2010-09-13,-1.2346
2010-09-14,0.0
2010-09-15,-1.25
2010-09-16,-27.8481
2010-09-17,22.807
2010-09-20,0.0
2010-09-21,14.2857
2010-09-23,-12.5
