ticker,MCBS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-02-21,13.4454
2017-04-07,14.8148
2017-04-11,29.0323
2017-04-25,-1.5
2017-05-12,-14.7959
2017-05-15,1.7964
2017-05-16,-11.7647
2017-05-17,6.6667
2017-05-18,3.125
2017-05-19,-3.0303
2017-05-22,0.0
2017-05-23,0.0
2017-05-25,1.5625
2017-05-31,-3.0769
2017-06-06,0.0
2017-06-08,3.1746
2017-06-09,-3.0769
2017-06-16,6.3492
2017-06-21,0.0
2017-07-12,0.2388
2017-07-18,0.9529
2017-07-19,29.7935
2017-07-24,-4.5455
2017-07-25,-14.2857
2017-07-27,-6.3889
2017-07-31,1.4837
2017-08-07,11.7647
2017-08-10,10.2632
2017-08-14,-4.5346
2017-08-24,0.0
2017-09-05,0.0
2017-09-13,0.0
2017-10-19,-8.75
2017-10-31,2.7397
2017-11-17,2.1398
2017-11-30,0.0105
2017-12-05,4.7368
2017-12-06,-2.0101
2017-12-22,2.0513
2018-01-04,-1.005
2018-01-05,0.0
2018-01-09,0.0
2018-01-19,-0.7614
2018-01-22,2.3018
2018-02-02,0.9082
2018-03-01,5.0
2018-03-12,4.7619
2018-04-09,2.2727
2018-04-23,2.2222
2018-04-25,0.0
2018-05-02,4.2945
2018-05-03,0.8403
2018-05-09,4.375
2018-05-10,-0.1996
2018-05-18,0.0004
2018-05-21,-0.0004
2018-05-23,-0.04
2018-06-19,4.0416
2018-06-28,-1.9231
2018-07-03,-0.3922
2018-07-20,10.2362
2018-08-01,0.3597
2018-08-16,0.0
2018-08-28,18.2796
2018-09-04,0.0
2018-09-07,0.0
2018-09-13,0.0
2019-01-18,-24.5427
2019-01-30,11.9192
2019-02-01,0.0
2019-02-21,-1.8182
2019-02-22,0.0
2019-03-06,1.8519
2019-03-22,0.0
2019-04-22,0.0
2019-04-23,5.4545
2019-04-25,-5.1724
2019-07-05,0.7326
2019-07-08,0.0
2019-08-12,0.0
2019-08-19,2.6393
2019-09-05,9.0
2019-09-06,11.4024
2019-09-09,0.0
2019-09-10,-5.8824
2019-09-11,0.875
2019-09-12,4.8327
2019-09-13,-5.4374
2019-09-18,-4.5
2019-09-20,1.4398
2019-09-26,1.6129
2019-09-27,-1.5873
2019-10-03,-12.9677
2019-10-04,-0.6672
2019-10-07,0.0
2019-10-08,-0.7254
2019-10-09,0.5803
2019-10-10,0.9873
2019-10-11,-0.1636
2019-10-14,-0.1483
2019-10-15,0.0742
2019-10-16,-0.5935
2019-10-17,0.7463
