ticker,ETTX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-09-26,-28.9333
2018-09-27,-6.1914
2018-09-28,8.8
2018-10-01,-8.0882
2018-10-02,-4.8
2018-10-03,-5.7773
2018-10-04,-7.1349
2018-10-05,-3.8415
2018-10-08,3.995
2018-10-09,3.6014
2018-10-10,-0.927
2018-10-11,-3.2749
2018-10-12,4.8368
2018-10-15,-2.9988
2018-10-16,-1.0702
2018-10-17,-5.8894
2018-10-18,-4.9808
2018-10-19,0.0
2018-10-22,-1.6129
2018-10-23,-5.4645
2018-10-24,-4.4798
2018-10-25,-3.4796
2018-10-26,-5.3292
2018-10-29,-3.4768
2018-10-30,-1.3721999999999999
2018-10-31,6.2609
2018-11-01,8.0196
2018-11-02,3.0258
2018-11-05,-8.5254
2018-11-06,-1.7685
2018-11-07,4.91
2018-11-08,-2.0281
2018-11-09,3.5032
2018-11-12,-4.6154
2018-11-13,0.4839
2018-11-14,-0.8026
2018-11-15,2.5874
2018-11-16,-1.418
2018-11-19,-0.32
2018-11-20,-2.0867
2018-11-21,4.5902
2018-11-23,5.1724
2018-11-26,-4.62
2018-11-27,-2.9688
2018-11-28,-5.153
2018-11-29,1.528
2018-11-30,2.6756
2018-12-03,-2.2801
2018-12-04,1.6667
2018-12-06,-0.8197
2018-12-07,-1.2397
2018-12-10,-0.4184
2018-12-11,0.0
2018-12-12,3.8655
2018-12-13,1.2945
2018-12-14,-1.1038000000000001
2018-12-17,-2.3567
2018-12-18,-3.3912
2018-12-19,-5.6507
2018-12-20,4.1742
2018-12-21,-11.324
2018-12-24,-6.2868
2018-12-26,-5.87
2018-12-27,1.3363
2018-12-28,-4.8352
2018-12-31,-6.0046
2019-01-02,10.8108
2019-01-03,-1.5011
2019-01-04,4.6754999999999995
2019-01-07,5.3763
2019-01-08,10.0
2019-01-09,3.8961
2019-01-10,-2.6786
2019-01-11,-8.0734
2019-01-14,0.7984
2019-01-15,7.7228
2019-01-16,1.2868
2019-01-17,3.6298
2019-01-18,-0.8757
2019-01-22,-11.6608
2019-01-23,0.0
2019-01-24,6.8
2019-01-25,5.9925
2019-01-28,-1.5371000000000001
2019-01-29,-2.5659
2019-01-30,-4.2357
2019-01-31,1.1538
2019-02-01,-6.8441
2019-02-04,9.7959
2019-02-05,7.9926
2019-02-06,-0.1738
2019-02-07,-1.3776
2019-02-08,8.9161
2019-02-11,12.6806
2019-02-12,1.8519
2019-02-13,-1.3986
2019-02-14,-4.9645
2019-02-15,-2.9851
