ticker,IRDM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-03-24,0.2203
2008-03-25,-0.5495
2008-03-26,0.3315
2008-03-31,0.2203
2008-04-01,-0.2198
2008-04-02,-0.3304
2008-04-03,0.0
2008-04-08,0.221
2008-04-10,0.1103
2008-04-11,0.1101
2008-04-14,-0.11
2008-04-15,0.7448
2008-04-23,-0.5206
2008-04-24,0.0
2008-04-29,0.2198
2008-05-01,-0.2193
2008-05-02,0.1099
2008-05-09,0.6586
2008-05-12,-0.1091
2008-05-13,0.1092
2008-05-14,-0.4362
2008-05-15,0.3286
2008-05-16,-0.1092
2008-05-19,0.0
2008-05-20,-0.0089
2008-05-21,0.0089
2008-05-22,0.2186
2008-05-27,0.3272
2008-05-29,-0.5435
2008-05-30,0.2186
2008-06-02,0.3272
2008-06-03,0.0
2008-06-04,0.4348
2008-06-05,-0.2165
2008-06-06,0.1085
2008-06-09,-0.1083
2008-06-10,-0.1085
2008-06-11,-0.1086
2008-06-12,0.2174
2008-06-13,0.0
2008-06-16,0.3254
2008-06-19,0.0
2008-06-20,0.5405
2008-06-27,0.5376
2008-06-30,-0.5348
2008-07-01,0.0
2008-07-09,-0.4301
2008-07-14,-1.1879
2008-07-15,0.6557
2008-07-16,0.1086
2008-07-17,0.3254
2008-07-18,0.1081
2008-07-21,0.216
2008-07-22,0.0
2008-07-24,-0.2155
2008-07-25,0.216
2008-07-28,0.0
2008-07-29,0.0
2008-07-30,0.0
2008-07-31,0.1078
2008-08-01,0.0
2008-08-04,0.3229
2008-08-05,0.0
2008-08-07,0.0
2008-08-13,-0.1073
2008-08-14,0.4296
2008-08-15,-0.107
2008-08-18,0.2141
2008-08-20,-0.4274
2008-08-25,0.3219
2008-08-26,0.5348
2008-08-28,0.0
2008-09-02,0.0
2008-09-04,0.1064
2008-09-09,-0.1129
2008-09-10,-0.1104
2008-09-12,-0.7349
2008-09-17,-1.8239999999999998
2008-09-22,0.8743
2008-09-23,1.7619
2008-09-24,0.0785
2008-09-25,-1.0638
2008-09-26,0.0
2008-09-29,-1.1828
2008-09-30,0.1088
2008-10-01,-0.1087
2008-10-02,-2.0675
2008-10-03,-1.1111
2008-10-06,-0.5618
2008-10-07,-2.8249
2008-10-08,1.1628
2008-10-09,0.5747
2008-10-10,-1.1429
2008-10-13,1.1561
2008-10-14,-1.1429
2008-10-15,1.1561
2008-10-16,-0.5714
2008-10-17,-0.5733
2008-10-20,1.6055000000000001
2008-10-21,0.1252
2008-10-22,-0.5682
