ticker,SBT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-11-17,1.3333
2017-11-20,3.2895
2017-11-21,0.3981
2017-11-22,1.5067
2017-11-24,0.1563
2017-11-27,0.312
2017-11-28,-1.2442
2017-11-29,-0.2362
2017-11-30,-2.1310000000000002
2017-12-01,2.8226
2017-12-04,-0.2353
2017-12-05,-2.044
2017-12-06,2.5682
2017-12-07,1.7214
2017-12-08,2.4615
2017-12-11,0.976
2017-12-12,-0.1487
2017-12-13,-1.4147
2017-12-14,-1.7372
2017-12-15,-0.8455
2017-12-18,-1.7054
2017-12-19,-0.7886
2017-12-20,0.2385
2017-12-21,0.4758
2017-12-22,-0.3946
2017-12-26,2.0602
2017-12-27,-1.2422
2017-12-28,-1.1792
2017-12-29,1.0342
2018-01-02,1.2598
2018-01-03,0.2333
2018-01-04,0.931
2018-01-05,1.153
2018-01-08,1.3678
2018-01-09,4.4228
2018-01-10,-1.2204
2018-01-11,0.5087
2018-01-12,-1.5907
2018-01-16,-0.9552
2018-01-17,0.6677
2018-01-18,-2.6529
2018-01-19,2.9523
2018-01-22,-0.9559
2018-01-23,-3.1923
2018-01-24,2.9141
2018-01-25,-0.2235
2018-01-26,-0.5975
2018-01-29,-2.1788
2018-01-30,-1.6897
2018-01-31,-0.8594
2018-02-01,-1.576
2018-02-02,-1.2810000000000001
2018-02-05,-0.7299
2018-02-06,2.5327
2018-02-07,3.2669
2018-02-08,0.1543
2018-02-09,0.3852
2018-02-12,0.2302
2018-02-13,-2.2205
2018-02-14,2.2727
2018-02-15,1.5326
2018-02-16,4.4528
2018-02-20,-2.1676
2018-02-21,3.0281
2018-02-22,0.0
2018-02-23,0.5018
2018-02-26,-0.9986
2018-02-27,0.7205
2018-02-28,0.1431
2018-03-01,0.5
2018-03-02,1.0661
2018-03-05,-1.4064999999999999
2018-03-06,-0.9986
2018-03-07,1.585
2018-03-08,3.9007
2018-03-09,-0.7509
2018-03-12,0.2063
2018-03-13,-3.3631
2018-03-14,-1.8466
2018-03-15,-4.4863
2018-03-16,0.4545
2018-03-19,1.5836999999999999
2018-03-20,-0.2227
2018-03-21,2.1577
2018-03-22,-3.7873
2018-03-23,-0.9841
2018-03-26,2.7523
2018-03-27,-0.5208
2018-03-28,2.169
2018-03-29,-1.0981
2018-04-02,0.074
2018-04-03,0.0
2018-04-04,-1.7751000000000001
2018-04-05,0.2259
2018-04-06,-0.3005
2018-04-09,0.0
2018-04-10,1.1304
2018-04-11,-0.3726
