ticker,CHCI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-12-14,4.6875
2004-12-15,3.1582
2004-12-16,2.1471
2004-12-17,2.0963
2004-12-20,5.3829
2004-12-21,1.3691
2004-12-22,7.7402999999999995
2004-12-23,0.2411
2004-12-27,-2.5493
2004-12-28,3.5538
2004-12-29,-0.143
2004-12-30,-1.6229
2004-12-31,6.5987
2005-01-03,1.502
2005-01-04,-3.3722
2005-01-05,-5.555
2005-01-06,-3.1006
2005-01-07,-2.287
2005-01-10,5.3506
2005-01-11,-1.4778
2005-01-12,-1.15
2005-01-13,0.3541
2005-01-14,3.9819
2005-01-18,5.0897
2005-01-19,4.714
2005-01-20,-0.8898
2005-01-21,2.1778
2005-01-24,-0.348
2005-01-25,-1.1349
2005-01-26,5.9603
2005-01-27,1.2542
2005-01-28,-0.8271
2005-01-31,-0.6224
2005-02-01,-0.6263
2005-02-02,1.8487
2005-02-03,3.42
2005-02-04,4.3121
2005-02-07,-5.086
2005-02-08,-0.2015
2005-02-09,1.1304
2005-02-10,1.996
2005-02-11,-10.2935
2005-02-14,4.712
2005-02-15,-3.0
2005-02-16,5.1975999999999996
2005-02-17,9.2691
2005-02-18,0.0897
2005-02-22,2.6732
2005-02-23,1.0145
2005-02-24,-6.2241
2005-02-25,5.9501
2005-02-28,7.6087
2005-03-01,-2.3603
2005-03-02,-9.8934
2005-03-03,-1.7604
2005-03-04,5.5707
2005-03-07,3.2472
2005-03-08,-3.2166
2005-03-09,-4.1728
2005-03-10,-4.0462
2005-03-11,-0.8835
2005-03-14,-11.2196
2005-03-15,8.1648
2005-03-16,-2.2785
2005-03-17,-3.2815
2005-03-18,3.0357
2005-03-21,-4.2028
2005-03-22,-1.0403
2005-03-23,-3.8848000000000003
2005-03-24,5.4684
2005-03-28,0.8566
2005-03-29,-4.7385
2005-03-30,-0.0939
2005-03-31,0.0
2005-04-01,-4.4622
2005-04-04,-0.4916
2005-04-05,-0.3953
2005-04-06,-2.5298
2005-04-07,1.7812000000000001
2005-04-08,-2.3
2005-04-11,-1.0747
2005-04-12,17.9514
2005-04-13,3.8158
2005-04-14,-5.4077
2005-04-15,-3.0862
2005-04-18,-1.8388
2005-04-19,5.6338
2005-04-20,-6.3111
2005-04-21,4.3643
2005-04-22,0.6818
2005-04-25,1.219
2005-04-26,3.3452
2005-04-27,1.8558
2005-04-28,0.1271
2005-04-29,0.2539
2005-05-02,2.0684
2005-05-03,0.4963
2005-05-04,4.5267
2005-05-05,4.5276
