ticker,NTRR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-10-13,3.1746
2011-10-14,0.0
2011-10-20,0.0
2011-10-24,0.0
2011-10-31,-3.0769
2011-11-02,0.0
2011-11-03,-12.6984
2011-11-04,0.0
2011-11-07,13.6364
2011-11-08,0.8
2011-11-09,-0.7937
2011-11-10,0.0
2011-11-15,0.0
2011-11-21,-5.6
2011-11-29,-6.7797
2011-11-30,13.6364
2011-12-06,-12.0
2011-12-12,18.1818
2011-12-13,-11.538499999999999
2011-12-14,0.0
2011-12-16,-4.3478
2011-12-20,0.0
2011-12-21,9.0909
2011-12-22,0.0
2011-12-23,-4.1667
2011-12-28,0.0
2011-12-30,4.3478
2012-01-03,4.1667
2012-01-04,-6.4
2012-01-05,2.5641
2012-01-06,0.0
2012-01-09,4.1667
2012-01-10,-4.0
2012-01-11,4.1667
2012-01-12,3.2
2012-01-13,0.7752
2012-01-17,3.8462
2012-01-18,7.4074
2012-01-19,10.3448
2012-01-20,0.0
2012-01-23,3.125
2012-01-24,-9.697
2012-01-25,17.4497
2012-01-26,20.0
2012-01-27,-9.5238
2012-01-30,7.8947
2012-01-31,9.7561
2012-02-01,-4.4444
2012-02-02,-2.3256
2012-02-03,-1.9524
2012-02-06,-2.8655
2012-02-07,-20.0
2012-02-08,18.75
2012-02-09,-21.0526
2012-02-10,-6.6667
2012-02-13,7.1429
2012-02-14,-16.6667
2012-02-15,12.0
2012-02-16,-10.7143
2012-02-17,2.4
2012-02-21,-6.25
2012-02-22,-4.1667
2012-02-23,-21.7391
2012-02-24,11.1111
2012-02-27,10.0
2012-02-28,-9.0909
2012-02-29,0.0
2012-03-01,-29.0
2012-03-02,26.7606
2012-03-05,0.0
2012-03-06,-5.5556
2012-03-07,-23.5294
2012-03-08,-30.7692
2012-03-09,4.4444
2012-03-12,-27.6596
2012-03-13,17.647100000000002
2012-03-14,12.5
2012-03-15,-6.0
2012-03-16,1.6548
2012-03-19,-16.2791
2012-03-20,11.1111
2012-03-21,-20.0
2012-03-22,12.5
2012-03-23,-16.6667
2012-03-26,-6.6667
2012-03-27,7.1429
2012-03-28,-39.6667
2012-03-29,13.2597
2012-03-30,-12.1951
2012-04-02,-16.6667
2012-04-03,0.0
2012-04-04,66.6667
2012-04-05,20.0
2012-04-09,16.6667
2012-04-10,-8.5714
2012-04-11,3.125
2012-04-12,0.0
2012-04-13,-15.1515
2012-04-16,-10.7143
2012-04-17,-20.0
2012-04-18,-10.0
2012-04-19,-11.1111
