ticker,RCII US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,12.6183
2000-01-04,-8.1232
2000-01-05,-7.3171
2000-01-06,-3.9474
2000-01-07,2.0548
2000-01-10,5.3690999999999995
2000-01-11,-3.5032
2000-01-12,0.9901
2000-01-13,8.4967
2000-01-14,0.6024
2000-01-18,-1.4969999999999999
2000-01-19,0.304
2000-01-20,1.8182
2000-01-21,-4.7619
2000-01-24,-4.0625
2000-01-25,-0.9772
2000-01-26,3.2895
2000-01-27,-7.3248
2000-01-28,-3.0928
2000-01-31,-2.1277
2000-02-01,-2.5362
2000-02-02,-4.8327
2000-02-03,12.5
2000-02-04,8.3333
2000-02-07,7.3718
2000-02-08,2.9851
2000-02-09,-4.9275
2000-02-10,-12.8049
2000-02-11,-6.2937
2000-02-14,16.791
2000-02-15,-9.2652
2000-02-16,0.7042
2000-02-17,-2.0979
2000-02-18,-11.4286
2000-02-22,0.0
2000-02-23,-0.8065
2000-02-24,-2.8455
2000-02-25,0.8368
2000-02-28,-6.3278
2000-02-29,6.3123000000000005
2000-03-01,5.8333
2000-03-02,-1.5748
2000-03-03,1.2
2000-03-06,-1.9763
2000-03-07,0.0
2000-03-08,0.0
2000-03-09,-1.2097
2000-03-10,-0.4082
2000-03-13,-5.123
2000-03-14,-2.3758
2000-03-15,-0.885
2000-03-16,5.8036
2000-03-17,0.4219
2000-03-20,-3.3613
2000-03-21,18.2609
2000-03-22,-8.8235
2000-03-23,-3.2258
2000-03-24,-2.5
2000-03-27,0.4274
2000-03-28,1.7021
2000-03-29,0.4184
2000-03-30,-1.25
2000-03-31,1.2658
2000-04-03,0.0
2000-04-04,10.8333
2000-04-05,9.0226
2000-04-06,2.5862
2000-04-07,0.5042
2000-04-10,7.0234
2000-04-11,-2.5
2000-04-12,0.3205
2000-04-13,2.2364
2000-04-14,-2.1875
2000-04-17,-0.3195
2000-04-18,5.7692
2000-04-19,4.2424
2000-04-20,0.8721
2000-04-24,-1.4409
2000-04-25,-0.2924
2000-04-26,-7.3314
2000-04-27,2.8481
2000-04-28,0.3077
2000-05-01,0.6135
2000-05-02,12.1951
2000-05-03,-3.2609
2000-05-04,-2.2472
2000-05-05,0.5747
2000-05-08,-2.8571
2000-05-09,-5.8824
2000-05-10,3.75
2000-05-11,0.9036
2000-05-12,-0.597
2000-05-15,3.3033
2000-05-16,-0.5814
2000-05-17,7.7485
2000-05-18,-8.2768
2000-05-19,-2.3669000000000002
2000-05-22,4.2424
2000-05-23,0.5814
