ticker,QH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-07-10,27.7
2020-07-13,-2.8191
2020-07-14,-6.6076
2020-07-15,-2.5022
2020-07-16,-6.3717
2020-07-17,-0.6616
2020-07-20,-1.2368999999999999
2020-07-21,-5.5877
2020-07-22,-11.2245
2020-07-23,-4.2529
2020-07-24,-3.9616
2020-07-27,-2.625
2020-07-28,7.8306000000000004
2020-07-29,10.119
2020-07-30,-4.8649000000000004
2020-07-31,-0.6818
