ticker,FINV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-11-10,0.6154
2017-11-13,0.5352
2017-11-14,-1.1407
2017-11-15,-2.3077
2017-11-16,1.811
2017-11-17,0.5414
2017-11-20,-3.3846
2017-11-21,-14.0127
2017-11-22,-24.2593
2017-11-24,15.5257
2017-11-27,-0.2116
2017-11-28,6.7869
2017-11-29,-7.5472
2017-11-30,3.1149
2017-12-01,-8.3333
2017-12-04,-5.2273
2017-12-05,-6.4748
2017-12-06,3.3333
2017-12-07,-11.1663
2017-12-08,5.7263
2017-12-11,5.6803
2017-12-12,-6.25
2017-12-13,13.3333
2017-12-14,-4.8235
2017-12-15,-7.1693
2017-12-18,-3.3289
2017-12-19,0.0
2017-12-20,-2.3416
2017-12-21,2.2567
2017-12-22,-0.2759
2017-12-26,-2.213
2017-12-27,0.2829
2017-12-28,0.0
2017-12-29,0.2821
2018-01-02,1.1252
2018-01-03,0.0
2018-01-04,-0.6954
2018-01-05,-0.1401
2018-01-08,-0.4208
2018-01-09,-0.1408
2018-01-10,-0.2821
2018-01-11,-0.9901
2018-01-12,0.0
2018-01-16,-1.8571
2018-01-17,-2.7656
2018-01-18,4.0419
2018-01-19,-2.5899
2018-01-22,0.2954
2018-01-23,3.0928
2018-01-24,7.1429
2018-01-25,12.8
2018-01-26,0.0
2018-01-29,-1.3002
2018-01-30,-5.7485
2018-01-31,-2.7954
2018-02-01,-7.0588
2018-02-02,-0.4219
2018-02-05,0.2825
2018-02-06,2.6761
2018-02-07,-2.6063
2018-02-08,-2.5352
2018-02-09,-0.289
2018-02-12,3.0435
2018-02-13,-1.4064999999999999
2018-02-14,11.4123
2018-02-15,-1.0243
2018-02-16,-0.3881
2018-02-20,-1.5584
2018-02-21,0.5277
2018-02-22,-0.3937
2018-02-23,-2.2398
2018-02-26,-4.717
2018-02-27,0.0
2018-02-28,0.1414
2018-03-01,-1.1299
2018-03-02,1.2857
2018-03-05,3.8082000000000003
2018-03-06,-0.1359
2018-03-07,2.0408
2018-03-08,6.9333
2018-03-09,-1.8702999999999999
2018-03-12,7.1156
2018-03-13,-5.694
2018-03-14,-1.3836
2018-03-15,-3.0612
2018-03-16,0.9211
2018-03-19,0.1304
2018-03-20,0.1302
2018-03-21,6.2419
2018-03-22,-2.0808
2018-03-23,-0.625
2018-03-26,-8.805
2018-03-27,1.1034
2018-03-28,0.0
2018-03-29,1.6371
2018-04-02,-3.4899
2018-04-03,-0.9736
2018-04-04,2.3876
2018-04-05,-2.332
