ticker,EOLS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-02-08,-4.1667
2018-02-09,1.3913
2018-02-12,-3.4305
2018-02-13,3.0195
2018-02-14,-0.8621
2018-02-15,2.4348
2018-02-16,-0.6791
2018-02-20,1.7094
2018-02-21,1.6806999999999999
2018-02-22,-0.0826
2018-02-23,-4.0529
2018-02-26,0.3448
2018-02-27,-1.5464
2018-02-28,5.4974
2018-03-01,-5.2109
2018-03-02,-0.1745
2018-03-05,1.049
2018-03-06,-2.3356
2018-03-07,-0.5314
2018-03-08,-4.1852
2018-03-09,12.1747
2018-03-12,2.4855
2018-03-13,-3.2336
2018-03-14,-1.1696
2018-03-15,2.2823
2018-03-16,3.3058
2018-03-19,-3.68
2018-03-20,-0.9967
2018-03-21,-0.5034
2018-03-22,-4.0472
2018-03-23,-0.7909
2018-03-26,-4.3401
2018-03-27,-13.3333
2018-03-28,-10.8974
2018-03-29,8.2734
2018-04-02,0.2215
2018-04-03,0.5525
2018-04-04,-1.2088
2018-04-05,-9.7887
2018-04-06,-6.5351
2018-04-09,8.1794
2018-04-10,9.5122
2018-04-11,-0.5568
2018-04-12,-0.5599
2018-04-13,4.0541
2018-04-16,1.5152
2018-04-17,0.7463
2018-04-18,0.7407
2018-04-19,-7.563
2018-04-20,-9.6591
2018-04-23,0.6918
2018-04-24,-3.6852
2018-04-25,1.8157999999999999
2018-04-26,-8.1529
2018-04-27,-2.0804
2018-04-30,-2.9745
2018-05-01,1.7518
2018-05-02,6.3128
2018-05-03,0.9447
2018-05-04,-2.6738
2018-05-07,20.1923
2018-05-08,8.3429
2018-05-09,11.2869
2018-05-10,9.0047
2018-05-11,17.3043
2018-05-14,1.705
2018-05-15,6.7783999999999995
2018-05-16,-26.9625
2018-05-17,20.9346
2018-05-18,18.8563
2018-05-21,5.2016
2018-05-22,4.3881
2018-05-23,14.624
2018-05-24,22.9339
2018-05-25,-5.7143
2018-05-29,16.7558
2018-05-30,-6.145
2018-05-31,-0.366
2018-06-01,11.3469
2018-06-04,11.7669
2018-06-05,10.7248
2018-06-06,14.0107
2018-06-07,-19.5116
2018-06-08,-17.4629
2018-06-11,13.6097
2018-06-12,-6.8158
2018-06-13,3.2878
2018-06-14,3.1831
2018-06-15,-1.8371
2018-06-18,-0.2119
2018-06-19,15.5697
2018-06-20,-2.725
2018-06-21,0.5351
2018-06-22,3.1309
2018-06-25,-11.1111
2018-06-26,3.6885
2018-06-27,-5.7312
2018-06-28,-4.5423
2018-06-29,2.4524
