ticker,FLGT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-09-29,2.0
2016-09-30,0.4357
2016-10-03,12.6898
2016-10-04,-4.2348
2016-10-05,-3.8191
2016-10-06,0.7315
2016-10-07,1.1929
2016-10-10,0.4613
2016-10-11,-1.1224
2016-10-12,-0.7224
2016-10-13,-2.2869
2016-10-14,-8.4043
2016-10-17,-5.4588
2016-10-18,0.3686
2016-10-19,4.6512
2016-10-20,0.0
2016-10-21,3.8596
2016-10-24,2.5901
2016-10-25,2.0856
2016-10-26,-3.0108
2016-10-27,-0.3326
2016-10-28,1.1123
2016-10-31,-0.9901
2016-11-01,0.3333
2016-11-02,-0.1107
2016-11-03,-0.9978
2016-11-04,-2.1277
2016-11-07,-0.4577
2016-11-08,-0.5747
2016-11-09,-0.578
2016-11-10,2.907
2016-11-11,-2.2599
2016-11-14,0.1156
2016-11-15,-1.7321
2016-11-16,1.9976
2016-11-17,-2.0737
2016-11-18,0.0
2016-11-21,4.5882
2016-11-22,6.6367
2016-11-23,-2.4262
2016-11-25,0.1081
2016-11-28,0.6479
2016-11-29,6.6524
2016-11-30,0.3018
2016-12-01,0.3009
2016-12-02,-1.2
2016-12-05,2.9352
2016-12-06,-7.5713
2016-12-07,5.4254999999999995
2016-12-08,0.4036
2016-12-09,0.5025
2016-12-12,-5.0
2016-12-13,-6.6316
2016-12-14,5.5242
2016-12-15,5.7692
2016-12-16,0.404
2016-12-19,5.4326
2016-12-20,3.2443
2016-12-21,3.7893
2016-12-22,4.9866
2016-12-23,-12.2137
2016-12-27,-2.6087
2016-12-28,-2.1825
2016-12-29,3.3468999999999998
2016-12-30,13.5427
2017-01-03,-3.6301
2017-01-04,3.4081
2017-01-05,-0.2602
2017-01-06,13.3913
2017-01-09,3.5276
2017-01-10,-4.2222
2017-01-11,3.4029
2017-01-12,-1.7203
2017-01-13,4.0335
2017-01-17,-3.2187
2017-01-18,0.5291
2017-01-19,-0.2256
2017-01-20,-0.3014
2017-01-23,0.907
2017-01-24,-0.8989
2017-01-25,-2.4187
2017-01-26,0.6971
2017-01-27,0.0
2017-01-30,-2.2308
2017-01-31,2.8324
2017-02-01,-1.3007
2017-02-02,-5.5039
2017-02-03,-1.6407
2017-02-06,1.1676
2017-02-07,-1.1542
2017-02-08,-1.0008
2017-02-09,-0.0842
2017-02-10,-0.3373
2017-02-13,-0.9306
2017-02-14,0.6832
2017-02-15,-1.9508
2017-02-16,-1.8166
2017-02-17,-0.0881
2017-02-21,-1.8519
