ticker,NEXT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-06-16,1.631
2015-06-25,-1.2036
2015-07-07,0.0
2015-07-10,1.1168
2015-07-13,-0.502
2015-07-15,0.4036
2015-07-17,1.5074999999999998
2015-07-20,-1.9802
2015-07-30,0.0
2015-08-21,0.0
2015-08-24,0.0
2015-08-31,0.0
2015-10-12,0.0
2015-10-15,0.0
2015-12-15,-1.5152
2015-12-16,2.0513
2015-12-17,-2.0101
2015-12-18,0.4103
2015-12-22,0.0
2015-12-23,-0.9193
2015-12-24,1.2371
2016-01-19,0.5092
2016-02-08,-0.2026
2016-02-11,0.0
2016-02-12,0.0
2016-02-19,0.0
2016-02-22,0.0
2016-02-23,0.1015
2016-02-24,0.4057
2016-02-25,-0.5051
2016-03-01,0.0
2016-03-02,0.5076
2016-03-15,0.0
2016-03-18,0.6061
2016-03-30,-0.6024
2016-04-05,1.0101
2016-04-08,0.0
2016-04-11,0.0
2016-04-13,0.0
2016-04-14,-1.0
2016-04-25,-0.6061
2016-04-28,0.1016
2016-04-29,0.5076
2016-05-02,0.0
2016-05-03,0.0
2016-05-09,0.0
2016-05-18,0.5051
2016-05-20,0.5025
2016-05-24,-0.5
2016-05-25,0.0
2016-05-31,0.5025
2016-06-01,-0.5
2016-06-02,0.0
2016-06-03,0.0
2016-06-09,0.0
2016-06-10,0.201
2016-06-13,0.1003
2016-06-15,-0.1002
2016-06-16,0.1003
2016-06-20,0.0
2016-06-21,0.3206
2016-06-22,0.1798
2016-06-23,0.0
2016-06-28,-0.4306
2016-06-29,0.4324
2016-07-06,-0.4985
2016-07-07,0.4008
2016-07-08,-0.1996
2016-07-11,0.0
2016-07-12,0.2
2016-07-13,0.1996
2016-07-14,-0.3984
2016-07-15,0.2988
2016-07-20,-0.2979
2016-07-25,0.4
2016-07-26,-0.1992
2016-07-27,0.5988
2016-08-11,1.0925
2016-08-15,-1.4732
2016-08-16,-0.3847
2016-08-22,0.3862
2016-08-23,0.5976
2016-08-24,0.0
2016-08-26,-0.1943
2016-08-31,-0.1029
2016-09-02,-0.1986
2016-10-17,0.2002
2016-10-18,0.0981
2016-10-27,0.364
2016-10-31,0.0327
2016-11-02,0.0
2016-11-03,-0.1
2016-11-04,0.0012
2016-11-07,0.1001
2016-11-08,0.0976
2016-11-09,0.1974
2016-11-15,0.0
2016-11-17,0.0
2016-11-18,0.0
2016-11-25,0.9852
2016-12-05,-1.4622
2016-12-07,-0.0012
2016-12-20,0.099
2016-12-22,0.0989
