ticker,IP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.6611
2000-01-04,-2.4775
2000-01-05,3.4642
2000-01-06,2.0089
2000-01-07,2.6258
2000-01-10,-0.2132
2000-01-11,-4.594
2000-01-12,-1.6797
2000-01-13,0.0
2000-01-14,1.8223
2000-01-18,-6.5996
2000-01-19,0.5988
2000-01-20,-3.4524
2000-01-21,-1.1097
2000-01-24,-3.2419000000000002
2000-01-25,-1.5464
2000-01-26,1.0471
2000-01-27,-0.9067
2000-01-28,0.1307
2000-01-31,-0.5222
2000-02-01,0.9186
2000-02-02,-0.7802
2000-02-03,-3.0144
2000-02-04,-1.3514
2000-02-07,-2.3288
2000-02-08,0.9818
2000-02-09,-4.1667
2000-02-10,1.4493
2000-02-11,-2.4286
2000-02-14,-0.5857
2000-02-15,2.651
2000-02-16,-0.2869
2000-02-17,-1.5918999999999999
2000-02-18,-4.5588
2000-02-22,2.3112
2000-02-23,-3.012
2000-02-24,-6.0559
2000-02-25,-4.7934
2000-02-28,-0.3472
2000-02-29,2.6132
2000-03-01,-3.056
2000-03-02,-1.5762
2000-03-03,3.3808
2000-03-06,-3.7866
2000-03-07,-4.4723
2000-03-08,7.912
2000-03-09,-3.5141
2000-03-10,3.9568
2000-03-13,-0.346
2000-03-14,-5.0347
2000-03-15,7.1298
2000-03-16,9.727
2000-03-17,-5.2877
2000-03-20,-0.1642
2000-03-21,2.7961
2000-03-22,-4.64
2000-03-23,5.0336
2000-03-24,0.7987
2000-03-27,-2.6941
2000-03-28,-1.7915
2000-03-29,0.3524
2000-03-30,6.0938
2000-03-31,6.5421
2000-04-03,0.1462
2000-04-04,-2.9196999999999997
2000-04-05,-3.1579
2000-04-06,0.3106
2000-04-07,-1.8576000000000001
2000-04-10,7.571
2000-04-11,1.3195999999999999
2000-04-12,1.013
2000-04-13,-2.149
2000-04-14,-6.0029
2000-04-17,-0.3115
2000-04-18,2.1875
2000-04-19,-2.7523
2000-04-20,-1.5723
2000-04-24,2.2364
2000-04-25,-6.875
2000-04-26,0.3356
2000-04-27,0.1672
2000-04-28,-1.8364
2000-05-01,0.6803
2000-05-02,3.8851
2000-05-03,-1.626
2000-05-04,-2.1488
2000-05-05,3.2095
2000-05-08,0.1637
2000-05-09,-2.6144
2000-05-10,-1.1745
2000-05-11,0.0
2000-05-12,0.0637
2000-05-15,9.2683
2000-05-16,-2.795
2000-05-17,0.4792
2000-05-18,-0.16
2000-05-19,0.641
2000-05-22,-2.707
